Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Bren,Alpha Red,16,10,Nuke
Team1,Bren,Alpha Red,8,16,Overpass
Team1,Bren,ArkAngel,16,10,Mirage
Team1,Bren,ArkAngel,16,7,Train
Team1,Bren,BOOT,16,14,Nuke
Team1,Bren,BOOT,8,16,Inferno
Team1,Bren,Beyond,16,11,Nuke
Team1,Bren,Beyond,4,16,Overpass
Team1,Bren,Blank,16,11,Inferno
Team1,Bren,Entity,16,11,Train
Team1,Bren,Fallen5,16,12,Overpass
Team1,Bren,Fallen5,16,14,Inferno
Team1,Bren,Fallen5,16,3,Nuke
Team1,Bren,Fallen5,20,22,Dust2
Team1,Bren,FrostFire,13,16,Train
Team1,Bren,FrostFire,16,1,Nuke
Team1,Bren,GMCC,19,17,Nuke
Team1,Bren,Grayhound,16,13,Inferno
Team1,Bren,Grayhound,4,16,Overpass
Team1,Bren,HZ,12,16,Train
Team1,Bren,HZ,22,20,Nuke
Team1,Bren,Invictus,13,16,Nuke
Team1,Bren,LaZe,16,11,Train
Team1,Bren,LaZe,19,16,Inferno
Team1,Bren,Mazaalai,16,6,Inferno
Team1,Bren,MiTH.Maple,16,10,Overpass
Team1,Bren,MiTH.Maple,16,11,Inferno
Team1,Bren,NASR,16,11,Inferno
Team1,Bren,R-Stars,16,10,Dust2
Team1,Bren,R-Stars,19,15,Train
Team1,Bren,R-Stars,7,16,Inferno
Team1,Bren,SponsorUS,16,1,Nuke
Team1,Bren,SponsorUS,16,10,Overpass
Team1,Bren,Station-751,16,10,Inferno
Team1,Bren,Station-751,16,11,Overpass
Team1,Bren,TYLOO,16,11,Train
Team1,Bren,TYLOO,16,13,Dust2
Team1,Bren,ViCi,7,16,Train
Team1,Bren,ahq,16,10,Dust2
Team1,Bren,ahq,16,3,Nuke
Team2,Bren,30.6,16,7,Overpass
Team2,Bren,A Point,16,6,Inferno
Team2,Bren,AUGUST,16,3,Nuke
Team2,Bren,BOOT,10,16,Dust2
Team2,Bren,BOOT,16,5,Train
Team2,Bren,Blank,16,2,Dust2
Team2,Bren,Exodus,16,2,Inferno
Team2,Bren,Fallen5,16,6,Train
Team2,Bren,GTV.Revolution,16,5,Inferno
Team2,Bren,HZ,10,16,Dust2
Team2,Bren,HZ,10,16,Mirage
Team2,Bren,Invictus,16,9,Dust2
Team2,Bren,LaZe,12,16,Mirage
Team2,Bren,LaZe,16,3,Overpass
Team2,Bren,Lynn Vision,10,16,Inferno
Team2,Bren,Maple,10,16,Train
Team2,Bren,Mazaalai,16,5,Overpass
Team2,Bren,NASR,12,16,Dust2
Team2,Bren,Station-751,16,2,Train
Team2,Bren,TYLOO,10,16,Inferno
Team2,Bren,ViCi,10,16,Nuke
Team2,Bren,ViCi,12,16,Overpass
