Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,CLG Red,Assassins,16,12,Train
Team1,CLG Red,Assassins,16,13,Mirage
Team1,CLG Red,Besiktas,16,10,Nuke
Team1,CLG Red,Besiktas,16,12,Nuke
Team1,CLG Red,Besiktas,16,13,Overpass
Team1,CLG Red,Besiktas,16,9,Overpass
Team1,CLG Red,Besiktas,9,16,Inferno
Team1,CLG Red,Besiktas,9,16,Inferno
Team1,CLG Red,Crowns fe,16,14,Mirage
Team1,CLG Red,Crowns fe,16,5,Train
Team1,CLG Red,FOREVER 21,16,4,Nuke
Team1,CLG Red,TYLOO fe,16,10,Inferno
Team1,CLG Red,Those Damn Canadians,5,16,Dust2
Team2,CLG Red,Assassins,16,19,Overpass
Team2,CLG Red,Besiktas,10,16,Vertigo
Team2,CLG Red,Besiktas,11,16,Inferno
Team2,CLG Red,Besiktas,11,16,Inferno
Team2,CLG Red,Besiktas,16,5,Mirage
Team2,CLG Red,Carnage fe,16,2,Train
Team2,CLG Red,Carnage fe,16,5,Cache
Team2,CLG Red,Crowns fe,16,7,Train
Team2,CLG Red,FOREVER 21,16,8,Mirage
Team2,CLG Red,TYLOO fe,16,8,Cache
Team2,CLG Red,Those Damn Canadians,16,2,Train
Team2,CLG Red,Those Damn Canadians,16,7,Cache
