Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Camel Riders,Aequus,16,10,Train
Team1,Camel Riders,Aequus,16,11,Inferno
Team1,Camel Riders,Aequus,6,16,Overpass
Team1,Camel Riders,Aequus,6,16,Vertigo
Team1,Camel Riders,Aequus,8,16,Inferno
Team1,Camel Riders,D13,16,9,Dust2
Team1,Camel Riders,Finest,16,14,Mirage
Team1,Camel Riders,IGEN,16,10,Mirage
Team1,Camel Riders,IGEN,16,8,Dust2
Team1,Camel Riders,Mazaalai,9,16,Dust2
Team1,Camel Riders,Yalla,19,17,Train
Team2,Camel Riders,Aequus,16,5,Dust2
Team2,Camel Riders,D13,16,6,Nuke
