Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Chiefs,ATK,16,10,Dust2
Team1,Chiefs,ATK,8,16,Inferno
Team1,Chiefs,AVANT,16,10,Inferno
Team1,Chiefs,AVANT,16,10,Nuke
Team1,Chiefs,AVANT,16,12,Nuke
Team1,Chiefs,AVANT,16,13,Nuke
Team1,Chiefs,AVANT,16,13,Train
Team1,Chiefs,AVANT,16,14,Inferno
Team1,Chiefs,AVANT,8,16,Dust2
Team1,Chiefs,AVANT,8,16,Dust2
Team1,Chiefs,Athletico,16,12,Nuke
Team1,Chiefs,Athletico,16,14,Dust2
Team1,Chiefs,Bizarre,16,4,Train
Team1,Chiefs,Breakaway,16,1,Mirage
Team1,Chiefs,Breakaway,16,10,Inferno
Team1,Chiefs,Breakaway,16,4,Dust2
Team1,Chiefs,Breakaway,16,5,Train
Team1,Chiefs,Caladrius,16,1,Nuke
Team1,Chiefs,Content,16,1,Cache
Team1,Chiefs,FURIA,6,16,Nuke
Team1,Chiefs,Fighting 4 Freedom,16,8,Train
Team1,Chiefs,Genuine,11,16,Overpass
Team1,Chiefs,Genuine,16,13,Dust2
Team1,Chiefs,Genuine,16,13,Nuke
Team1,Chiefs,Genuine,16,8,Mirage
Team1,Chiefs,Genuine,8,16,Inferno
Team1,Chiefs,Grayhound,10,16,Nuke
Team1,Chiefs,Grayhound,10,16,Overpass
Team1,Chiefs,Grayhound,19,17,Mirage
Team1,Chiefs,Grayhound,5,16,Dust2
Team1,Chiefs,Grayhound,5,16,Nuke
Team1,Chiefs,Ground Zero,12,16,Nuke
Team1,Chiefs,Ground Zero,16,13,Mirage
Team1,Chiefs,Ground Zero,16,13,Nuke
Team1,Chiefs,Ground Zero,16,14,Inferno
Team1,Chiefs,Ground Zero,16,14,Overpass
Team1,Chiefs,Ground Zero,16,6,Overpass
Team1,Chiefs,Ground Zero,16,7,Nuke
Team1,Chiefs,Ground Zero,16,9,Train
Team1,Chiefs,Ground Zero,19,16,Dust2
Team1,Chiefs,Ground Zero,19,16,Mirage
Team1,Chiefs,Ground Zero,25,23,Nuke
Team1,Chiefs,Ground Zero,6,16,Inferno
Team1,Chiefs,Ground Zero,8,16,Mirage
Team1,Chiefs,Incept,16,12,Inferno
Team1,Chiefs,Incept,16,13,Inferno
Team1,Chiefs,ORDER,11,16,Inferno
Team1,Chiefs,ORDER,14,16,Nuke
Team1,Chiefs,ORDER,16,1,Mirage
Team1,Chiefs,ORDER,16,11,Inferno
Team1,Chiefs,ORDER,16,11,Train
Team1,Chiefs,ORDER,16,12,Dust2
Team1,Chiefs,ORDER,16,12,Nuke
Team1,Chiefs,ORDER,16,3,Nuke
Team1,Chiefs,ORDER,16,5,Nuke
Team1,Chiefs,ORDER,19,16,Nuke
Team1,Chiefs,ORDER,19,17,Dust2
Team1,Chiefs,ORDER,5,16,Dust2
Team1,Chiefs,ORDER,5,16,Vertigo
Team1,Chiefs,ORDER,7,16,Inferno
Team1,Chiefs,ORDER,7,16,Vertigo
Team1,Chiefs,ORDER,9,16,Overpass
Team1,Chiefs,PC419,16,14,Mirage
Team1,Chiefs,Paradox,16,14,Inferno
Team1,Chiefs,Paradox,16,5,Overpass
Team1,Chiefs,Paradox,16,7,Dust2
Team1,Chiefs,Paradox,16,9,Dust2
Team1,Chiefs,Paradox,19,17,Mirage
Team1,Chiefs,PopoutBoyz,16,13,Overpass
Team1,Chiefs,Recursive,16,11,Dust2
Team1,Chiefs,Rooster,16,14,Mirage
Team1,Chiefs,Rooster,16,4,Nuke
Team1,Chiefs,Rooster,16,8,Train
Team1,Chiefs,Rooster,40,38,Mirage
Team1,Chiefs,Rooster,9,16,Mirage
Team1,Chiefs,Rooster,9,16,Train
Team1,Chiefs,SYF,16,13,Inferno
Team1,Chiefs,Skyfire,16,11,Nuke
Team1,Chiefs,Skyfire,2,16,Inferno
Team1,Chiefs,Skyfire,22,20,Inferno
Team1,Chiefs,Surge,16,3,Train
Team1,Chiefs,ViCi,16,10,Nuke
Team1,Chiefs,Viva Algeria,6,16,Inferno
Team1,Chiefs,ex-Paradox,8,16,Inferno
Team1,Chiefs,fnatic,16,14,Dust2
Team1,Chiefs,fnatic,4,16,Inferno
Team1,Chiefs,fnatic,9,16,Mirage
Team1,Chiefs,i sleep,22,20,Nuke
Team1,Chiefs,madlikewizards,16,10,Mirage
Team1,Chiefs,really weird,16,13,Vertigo
Team1,Chiefs,really weird,16,6,Nuke
Team2,Chiefs,AVANT,16,7,Dust2
Team2,Chiefs,Airborne,16,7,Inferno
Team2,Chiefs,Astral Influence,16,3,Mirage
Team2,Chiefs,Athletico,10,16,Mirage
Team2,Chiefs,Athletico,16,19,Mirage
Team2,Chiefs,Athletico,16,3,Overpass
Team2,Chiefs,Bizarre,16,4,Inferno
Team2,Chiefs,Bizarre,16,5,Nuke
Team2,Chiefs,Breakaway,16,4,Overpass
Team2,Chiefs,Buckets,16,9,Mirage
Team2,Chiefs,DINQ,16,5,Dust2
Team2,Chiefs,Dippers,16,5,Mirage
Team2,Chiefs,Downfall,16,5,Nuke
Team2,Chiefs,Fanta,16,5,Mirage
Team2,Chiefs,Fighting 4 Freedom,16,6,Inferno
Team2,Chiefs,Forbidden,16,5,Vertigo
Team2,Chiefs,Genuine,12,16,Train
Team2,Chiefs,Genuine,16,6,Mirage
Team2,Chiefs,Ground Zero,11,16,Inferno
Team2,Chiefs,Ground Zero,13,16,Mirage
Team2,Chiefs,Ground Zero,16,3,Mirage
Team2,Chiefs,Ground Zero,16,6,Inferno
Team2,Chiefs,Ground Zero,16,7,Mirage
Team2,Chiefs,Jade,16,4,Inferno
Team2,Chiefs,Mako,16,5,Vertigo
Team2,Chiefs,ORDER,10,16,Mirage
Team2,Chiefs,ORDER,16,19,Inferno
Team2,Chiefs,ORDER,16,19,Train
Team2,Chiefs,ORDER,17,19,Inferno
Team2,Chiefs,PC419,16,2,Inferno
Team2,Chiefs,PC419,16,8,Dust2
Team2,Chiefs,Paradox,16,5,Mirage
Team2,Chiefs,Paradox,16,7,Mirage
Team2,Chiefs,Paradox,16,7,Nuke
Team2,Chiefs,Paradox,16,8,Mirage
Team2,Chiefs,Paradox,20,22,Mirage
Team2,Chiefs,R!OT,16,5,Dust2
Team2,Chiefs,Rooster,12,16,Mirage
Team2,Chiefs,Rooster,16,5,Overpass
Team2,Chiefs,Rooster,16,8,Inferno
Team2,Chiefs,Skyfire,16,3,Cache
Team2,Chiefs,Tainted Minds,16,9,Overpass
Team2,Chiefs,Viva Algeria,12,16,Nuke
Team2,Chiefs,ZOOWEEMAMA,16,6,Inferno
Team2,Chiefs,ex-Athletico,16,8,Train
Team2,Chiefs,i sleep,16,5,Vertigo
