Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Chris and the boys,Cyclone,16,12,Overpass
Team1,Chris and the boys,Mythic,16,13,Inferno
Team1,Chris and the boys,Singularity,4,16,Mirage
Team1,Chris and the boys,Singularity,6,16,Train
Team1,Chris and the boys,TeamOne,4,16,Train
Team2,Chris and the boys,BLITZKRIEG,16,8,Train
Team2,Chris and the boys,Mythic,10,16,Overpass
Team2,Chris and the boys,Mythic,16,7,Nuke
Team2,Chris and the boys,Polar Ace,19,22,Nuke
Team2,Chris and the boys,Zone,20,22,Mirage
