Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Cloud9,Astralis,9,16,Inferno
Team1,Cloud9,Astralis,9,16,Mirage
Team1,Cloud9,Bad News Bears,16,11,Train
Team1,Cloud9,Bad News Bears,16,9,Overpass
Team1,Cloud9,Complexity,16,14,Inferno
Team1,Cloud9,Complexity,8,16,Dust2
Team1,Cloud9,Copenhagen Flames,22,19,Overpass
Team1,Cloud9,Envy,13,16,Inferno
Team1,Cloud9,Envy,16,11,Mirage
Team1,Cloud9,Envy,16,12,Dust2
Team1,Cloud9,Envy,16,5,Overpass
Team1,Cloud9,Envy,8,16,Train
Team1,Cloud9,Evil Geniuses,19,17,Dust2
Team1,Cloud9,Evil Geniuses,8,16,Nuke
Team1,Cloud9,FURIA,16,10,Cache
Team1,Cloud9,FURIA,16,11,Train
Team1,Cloud9,FaZe,12,16,Inferno
Team1,Cloud9,FaZe,7,16,Overpass
Team1,Cloud9,FunPlus Phoenix,22,20,Train
Team1,Cloud9,Gen.G,16,9,Inferno
Team1,Cloud9,Gen.G,6,16,Train
Team1,Cloud9,Ghost,16,10,Dust2
Team1,Cloud9,Giants,16,14,Dust2
Team1,Cloud9,HAVU,8,16,Vertigo
Team1,Cloud9,HellRaisers,16,12,Cache
Team1,Cloud9,INTZ,16,11,Nuke
Team1,Cloud9,INTZ,16,7,Inferno
Team1,Cloud9,INTZ,8,16,Mirage
Team1,Cloud9,Infinity,16,11,Inferno
Team1,Cloud9,LiViD,16,11,Overpass
Team1,Cloud9,Liquid,16,12,Inferno
Team1,Cloud9,Liquid,16,13,Vertigo
Team1,Cloud9,Liquid,5,16,Dust2
Team1,Cloud9,Liquid,8,16,Inferno
Team1,Cloud9,Liquid,8,16,Mirage
Team1,Cloud9,Luminosity,14,16,Inferno
Team1,Cloud9,Luminosity,16,11,Dust2
Team1,Cloud9,MIBR,16,4,Overpass
Team1,Cloud9,MIBR,6,16,Cache
Team1,Cloud9,Mythic,16,10,Inferno
Team1,Cloud9,Mythic,16,14,Vertigo
Team1,Cloud9,NRG,3,16,Mirage
Team1,Cloud9,New England Whalers,16,11,Nuke
Team1,Cloud9,New England Whalers,16,13,Train
Team1,Cloud9,New Identity,7,16,Nuke
Team1,Cloud9,Orgless,12,16,Inferno
Team1,Cloud9,Orgless,16,10,Train
Team1,Cloud9,Orgless,16,11,Train
Team1,Cloud9,Orgless,8,16,Nuke
Team1,Cloud9,Riot Squad,16,4,Overpass
Team1,Cloud9,Sharks,8,16,Mirage
Team1,Cloud9,Sharks,9,16,Nuke
Team1,Cloud9,Singularity,16,7,Overpass
Team1,Cloud9,Singularity,7,16,Dust2
Team1,Cloud9,The Quest,8,16,Nuke
Team1,Cloud9,Winstrike,19,16,Overpass
Team1,Cloud9,eUnited,10,16,Mirage
Team1,Cloud9,eUnited,16,10,Inferno
Team1,Cloud9,eUnited,16,6,Train
Team1,Cloud9,eUnited,16,7,Dust2
Team1,Cloud9,eUnited,19,16,Overpass
Team1,Cloud9,ex-Luminosity,16,13,Overpass
Team1,Cloud9,ex-Luminosity,9,16,Inferno
Team1,Cloud9,fnatic,7,16,Train
Team2,Cloud9,Astralis,11,16,Inferno
Team2,Cloud9,Copenhagen Flames,16,8,Dust2
Team2,Cloud9,DETONA,16,4,Dust2
Team2,Cloud9,DETONA,16,9,Mirage
Team2,Cloud9,ENCE,11,16,Nuke
Team2,Cloud9,Envy,14,16,Nuke
Team2,Cloud9,Envy,16,8,Inferno
Team2,Cloud9,Envy,16,8,Train
Team2,Cloud9,Evil Geniuses,16,9,Overpass
Team2,Cloud9,FURIA,12,16,Mirage
Team2,Cloud9,FURIA,16,8,Overpass
Team2,Cloud9,FaZe,14,16,Inferno
Team2,Cloud9,FaZe,16,3,Mirage
Team2,Cloud9,FunPlus Phoenix,10,16,Nuke
Team2,Cloud9,HAVU,11,16,Nuke
Team2,Cloud9,HellRaisers,16,8,Inferno
Team2,Cloud9,INTZ,14,16,Inferno
Team2,Cloud9,INTZ,16,6,Vertigo
Team2,Cloud9,INTZ,16,8,Train
Team2,Cloud9,INTZ,23,25,Mirage
Team2,Cloud9,Infinity,16,2,Train
Team2,Cloud9,LiViD,16,5,Train
Team2,Cloud9,Liquid,14,16,Inferno
Team2,Cloud9,MIBR,13,16,Train
Team2,Cloud9,MIBR,16,3,Inferno
Team2,Cloud9,Natus Vincere,13,16,Overpass
Team2,Cloud9,Natus Vincere,15,15,Train
Team2,Cloud9,New Identity,16,2,Mirage
Team2,Cloud9,NiP,14,16,Nuke
Team2,Cloud9,Orgless,14,16,Nuke
Team2,Cloud9,Renegades,12,16,Inferno
Team2,Cloud9,Riot Squad,16,7,Dust2
Team2,Cloud9,Sharks,16,3,Train
Team2,Cloud9,The Quest,11,16,Mirage
Team2,Cloud9,Winstrike,16,7,Nuke
Team2,Cloud9,eUnited,16,7,Nuke
Team2,Cloud9,eUnited,16,9,Inferno
Team2,Cloud9,fnatic,14,16,Mirage
Team2,Cloud9,fnatic,16,7,Overpass
