Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Copenhagen Flames,AGF,16,11,Dust2
Team1,Copenhagen Flames,AGF,16,11,Nuke
Team1,Copenhagen Flames,AGF,16,13,Train
Team1,Copenhagen Flames,AGF,16,14,Overpass
Team1,Copenhagen Flames,AGF,16,5,Inferno
Team1,Copenhagen Flames,AGF,16,5,Nuke
Team1,Copenhagen Flames,AGF,8,16,Nuke
Team1,Copenhagen Flames,AGO,16,8,Mirage
Team1,Copenhagen Flames,ALTERNATE aTTaX,18,22,Train
Team1,Copenhagen Flames,ARCY,10,16,Overpass
Team1,Copenhagen Flames,AVEZ,11,16,Train
Team1,Copenhagen Flames,AVEZ,16,13,Nuke
Team1,Copenhagen Flames,AVEZ,8,16,Mirage
Team1,Copenhagen Flames,Akopalipsa,19,16,Train
Team1,Copenhagen Flames,Akopalipsa,8,16,Inferno
Team1,Copenhagen Flames,Aristocracy,16,13,Nuke
Team1,Copenhagen Flames,Aristocracy,22,18,Overpass
Team1,Copenhagen Flames,Aristocracy,7,16,Nuke
Team1,Copenhagen Flames,Axis,14,16,Nuke
Team1,Copenhagen Flames,BIG,4,16,Nuke
Team1,Copenhagen Flames,BIG,7,16,Dust2
Team1,Copenhagen Flames,Bpro,16,13,Train
Team1,Copenhagen Flames,Chaos,16,12,Nuke
Team1,Copenhagen Flames,Chaos,16,12,Overpass
Team1,Copenhagen Flames,Codewise Unicorns,16,14,Inferno
Team1,Copenhagen Flames,Defusekids,16,12,Mirage
Team1,Copenhagen Flames,DreamEaters,12,16,Train
Team1,Copenhagen Flames,DreamEaters,16,10,Inferno
Team1,Copenhagen Flames,DreamEaters,16,13,Inferno
Team1,Copenhagen Flames,DreamEaters,16,4,Overpass
Team1,Copenhagen Flames,DreamEaters,16,7,Overpass
Team1,Copenhagen Flames,DreamEaters,19,17,Vertigo
Team1,Copenhagen Flames,Endpoint,4,16,Dust2
Team1,Copenhagen Flames,Endpoint,9,16,Train
Team1,Copenhagen Flames,Epsilon,16,5,Nuke
Team1,Copenhagen Flames,Epsilon,7,16,Inferno
Team1,Copenhagen Flames,FATE,16,4,Overpass
Team1,Copenhagen Flames,G2,5,16,Nuke
Team1,Copenhagen Flames,Gambit Youngsters,6,16,Inferno
Team1,Copenhagen Flames,Gambit Youngsters,7,16,Mirage
Team1,Copenhagen Flames,GamerLegion,16,9,Vertigo
Team1,Copenhagen Flames,GamerLegion,19,17,Overpass
Team1,Copenhagen Flames,GamerLegion,8,16,Dust2
Team1,Copenhagen Flames,HAVU,14,16,Overpass
Team1,Copenhagen Flames,HAVU,16,12,Overpass
Team1,Copenhagen Flames,HAVU,16,13,Mirage
Team1,Copenhagen Flames,HAVU,16,13,Nuke
Team1,Copenhagen Flames,HAVU,16,14,Inferno
Team1,Copenhagen Flames,Hard Legion,16,11,Inferno
Team1,Copenhagen Flames,Hard Legion,16,11,Mirage
Team1,Copenhagen Flames,HellRaisers,5,16,Overpass
Team1,Copenhagen Flames,Heretics,11,16,Nuke
Team1,Copenhagen Flames,Heretics,16,10,Overpass
Team1,Copenhagen Flames,Heroic,11,16,Mirage
Team1,Copenhagen Flames,Illuminar,11,16,Vertigo
Team1,Copenhagen Flames,Izako Boars,16,14,Mirage
Team1,Copenhagen Flames,London,16,13,Overpass
Team1,Copenhagen Flames,London,19,15,Mirage
Team1,Copenhagen Flames,Lyngby Vikings,16,3,Inferno
Team1,Copenhagen Flames,MAD Lions,13,16,Nuke
Team1,Copenhagen Flames,MAD Lions,6,16,Train
Team1,Copenhagen Flames,Movistar Riders,16,10,Inferno
Team1,Copenhagen Flames,Movistar Riders,5,16,Nuke
Team1,Copenhagen Flames,NAVI Junior,16,12,Inferno
Team1,Copenhagen Flames,Nemiga,16,12,Inferno
Team1,Copenhagen Flames,Nemiga,16,12,Overpass
Team1,Copenhagen Flames,Nemiga,16,13,Inferno
Team1,Copenhagen Flames,Nexus,16,5,Train
Team1,Copenhagen Flames,Nordavind,16,13,Inferno
Team1,Copenhagen Flames,OneThree,14,16,Train
Team1,Copenhagen Flames,SJ,11,16,Nuke
Team1,Copenhagen Flames,SJ,13,16,Nuke
Team1,Copenhagen Flames,SJ,16,11,Mirage
Team1,Copenhagen Flames,SJ,16,12,Train
Team1,Copenhagen Flames,SJ,16,13,Inferno
Team1,Copenhagen Flames,SJ,16,13,Nuke
Team1,Copenhagen Flames,SJ,22,20,Mirage
Team1,Copenhagen Flames,SJ,7,16,Train
Team1,Copenhagen Flames,SJ,8,16,Inferno
Team1,Copenhagen Flames,SKADE,16,10,Train
Team1,Copenhagen Flames,SKADE,16,14,Dust2
Team1,Copenhagen Flames,SKADE,22,19,Nuke
Team1,Copenhagen Flames,STEP,16,5,Inferno
Team1,Copenhagen Flames,Spirit,16,10,Nuke
Team1,Copenhagen Flames,Spirit,16,10,Train
Team1,Copenhagen Flames,Spirit,16,11,Inferno
Team1,Copenhagen Flames,Spirit,4,16,Mirage
Team1,Copenhagen Flames,Sprout,16,12,Inferno
Team1,Copenhagen Flames,Sprout,16,12,Nuke
Team1,Copenhagen Flames,Sprout,4,16,Dust2
Team1,Copenhagen Flames,Sprout,4,16,Mirage
Team1,Copenhagen Flames,Sprout,9,16,Inferno
Team1,Copenhagen Flames,Tricked,14,16,Train
Team1,Copenhagen Flames,Unique,10,16,Nuke
Team1,Copenhagen Flames,Unique,16,10,Vertigo
Team1,Copenhagen Flames,Unique,16,14,Mirage
Team1,Copenhagen Flames,VIHARTINDERGULD,16,3,Overpass
Team1,Copenhagen Flames,Vainox,16,6,Nuke
Team1,Copenhagen Flames,Vantage,16,10,Train
Team1,Copenhagen Flames,Vega Squadron,11,16,Overpass
Team1,Copenhagen Flames,Virtus.pro,16,13,Train
Team1,Copenhagen Flames,Winstrike,11,16,Overpass
Team1,Copenhagen Flames,Wisla Krakow,16,10,Mirage
Team1,Copenhagen Flames,Wisla Krakow,16,12,Overpass
Team1,Copenhagen Flames,Youngsters,3,16,Train
Team1,Copenhagen Flames,Youngsters,6,16,Mirage
Team1,Copenhagen Flames,average25iqbutheadshots,16,2,Train
Team1,Copenhagen Flames,cats,16,12,Overpass
Team1,Copenhagen Flames,ex-Epsilon,8,16,Nuke
Team1,Copenhagen Flames,forZe,16,13,Overpass
Team1,Copenhagen Flames,mousesports,9,16,Train
Team1,Copenhagen Flames,pro100,16,10,Train
Team1,Copenhagen Flames,pro100,8,16,Overpass
Team1,Copenhagen Flames,x-kom,19,22,Overpass
Team1,Copenhagen Flames,x6tence,16,10,Overpass
Team2,Copenhagen Flames,AGF,14,16,Mirage
Team2,Copenhagen Flames,AGF,16,2,Train
Team2,Copenhagen Flames,AGF,19,22,Dust2
Team2,Copenhagen Flames,AGO,16,3,Nuke
Team2,Copenhagen Flames,ALTERNATE aTTaX,16,9,Overpass
Team2,Copenhagen Flames,ARCY,16,6,Mirage
Team2,Copenhagen Flames,Ancient,12,16,Nuke
Team2,Copenhagen Flames,Ancient,20,22,Overpass
Team2,Copenhagen Flames,Apeks,16,8,Nuke
Team2,Copenhagen Flames,Aristocracy,13,16,Train
Team2,Copenhagen Flames,Axis,14,16,Mirage
Team2,Copenhagen Flames,Bpro,16,5,Overpass
Team2,Copenhagen Flames,Chaos,10,16,Mirage
Team2,Copenhagen Flames,Defusekids,16,3,Nuke
Team2,Copenhagen Flames,DreamEaters,16,4,Inferno
Team2,Copenhagen Flames,Endpoint,13,16,Inferno
Team2,Copenhagen Flames,FATE,11,16,Inferno
Team2,Copenhagen Flames,FaZe,10,16,Train
Team2,Copenhagen Flames,GODSENT,14,16,Nuke
Team2,Copenhagen Flames,Gambit Youngsters,16,6,Inferno
Team2,Copenhagen Flames,GamerLegion,10,16,Mirage
Team2,Copenhagen Flames,GamerLegion,16,7,Nuke
Team2,Copenhagen Flames,GoldenGitte,10,16,Inferno
Team2,Copenhagen Flames,GoldenGitte,16,3,Train
Team2,Copenhagen Flames,GoldenGitte,16,6,Nuke
Team2,Copenhagen Flames,GoldenGitte,16,8,Train
Team2,Copenhagen Flames,HAVU,13,16,Nuke
Team2,Copenhagen Flames,HAVU,13,16,Train
Team2,Copenhagen Flames,HAVU,16,6,Overpass
Team2,Copenhagen Flames,HAVU,17,19,Train
Team2,Copenhagen Flames,HellRaisers,14,16,Vertigo
Team2,Copenhagen Flames,Heretics,11,16,Nuke
Team2,Copenhagen Flames,Heretics,14,16,Mirage
Team2,Copenhagen Flames,Illuminar,16,4,Nuke
Team2,Copenhagen Flames,Illuminar,16,9,Dust2
Team2,Copenhagen Flames,Izako Boars,12,16,Nuke
Team2,Copenhagen Flames,Izako Boars,16,7,Train
Team2,Copenhagen Flames,Lyngby Vikings,16,4,Train
Team2,Copenhagen Flames,MAD Lions,16,9,Dust2
Team2,Copenhagen Flames,Movistar Riders,13,16,Overpass
Team2,Copenhagen Flames,Movistar Riders,17,19,Mirage
Team2,Copenhagen Flames,Movistar Riders,17,19,Nuke
Team2,Copenhagen Flames,NAVI Junior,16,4,Vertigo
Team2,Copenhagen Flames,Nemiga,14,16,Inferno
Team2,Copenhagen Flames,Nemiga,14,16,Nuke
Team2,Copenhagen Flames,Nemiga,16,8,Vertigo
Team2,Copenhagen Flames,Nemiga,16,9,Overpass
Team2,Copenhagen Flames,Nexus,12,16,Mirage
Team2,Copenhagen Flames,Nexus,16,7,Overpass
Team2,Copenhagen Flames,Nordavind,16,7,Vertigo
Team2,Copenhagen Flames,Nordavind,16,9,Vertigo
Team2,Copenhagen Flames,North,16,7,Mirage
Team2,Copenhagen Flames,SJ,14,16,Inferno
Team2,Copenhagen Flames,SJ,16,5,Train
Team2,Copenhagen Flames,SKADE,14,16,Inferno
Team2,Copenhagen Flames,SKADE,16,7,Nuke
Team2,Copenhagen Flames,SKADE,19,22,Nuke
Team2,Copenhagen Flames,STEP,10,16,Nuke
