Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,D13,2990,16,9,Nuke
Team1,D13,2990,8,16,Inferno
Team1,D13,2990,9,16,Overpass
Team1,D13,BL4ZE,16,12,Inferno
Team1,D13,BOOT,8,16,Nuke
Team1,D13,Beyond,11,16,Mirage
Team1,D13,IM11,16,14,Mirage
Team1,D13,IM11,16,7,Nuke
Team1,D13,JiJieHao,16,11,Nuke
Team1,D13,Mazaalai,7,16,Train
Team1,D13,Ninjustice,16,7,Inferno
Team1,D13,TIGER,15,19,Dust2
Team1,D13,TIGER,19,22,Nuke
Team1,D13,TIGER,7,16,Dust2
Team1,D13,Updraft,12,16,Nuke
Team1,D13,Updraft,16,10,Vertigo
Team1,D13,Updraft,16,11,Nuke
Team1,D13,Updraft,16,13,Dust2
Team1,D13,Updraft,16,8,Vertigo
Team2,D13,2990,16,8,Nuke
Team2,D13,Mazaalai,16,9,Nuke
Team2,D13,Ninjustice,16,6,Mirage
Team2,D13,R-Stars,10,16,Train
Team2,D13,Updraft,16,5,Inferno
