Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Defusekids,Aetas x Strijders,16,3,Nuke
Team1,Defusekids,Ambush,11,16,Train
Team1,Defusekids,Ambush,3,16,Inferno
Team1,Defusekids,Asterion,16,11,Nuke
Team1,Defusekids,CR4ZY,16,13,Dust2
Team1,Defusekids,Game Fist,13,16,Nuke
Team1,Defusekids,Game Fist,9,16,Vertigo
Team1,Defusekids,Heretics,13,16,Dust2
Team1,Defusekids,LDLC,16,10,Train
Team1,Defusekids,LDLC,19,17,Nuke
Team1,Defusekids,LOG,16,10,Dust2
Team1,Defusekids,LOG,16,6,Nuke
Team1,Defusekids,Nemiga,4,16,Nuke
Team1,Defusekids,Nemiga,8,16,Dust2
Team1,Defusekids,OFFSET,16,10,Dust2
Team1,Defusekids,OFFSET,25,23,Dust2
Team1,Defusekids,PRINCEADIL,16,14,Dust2
Team1,Defusekids,PRINCEADIL,16,14,Inferno
Team1,Defusekids,Phoenix,8,16,Train
Team1,Defusekids,Prima,19,16,Inferno
Team1,Defusekids,Sangal,16,13,Inferno
Team1,Defusekids,Sangal,16,7,Dust2
Team1,Defusekids,Schadenfreude,13,16,Dust2
Team1,Defusekids,Tenerife Titans,16,10,Mirage
Team1,Defusekids,Tenerife Titans,16,6,Inferno
Team1,Defusekids,Turkey5,9,16,Vertigo
Team1,Defusekids,Unicorns of Love,7,16,Inferno
Team1,Defusekids,Vae Victis,12,16,Train
Team1,Defusekids,Vae Victis,16,11,Mirage
Team1,Defusekids,dizLown,16,8,Nuke
Team1,Defusekids,hREDS,16,10,Inferno
Team1,Defusekids,mCon,16,2,Nuke
Team2,Defusekids,Aetas x Strijders,16,6,Dust2
Team2,Defusekids,Asterion,16,6,Dust2
Team2,Defusekids,Heretics,11,16,Inferno
Team2,Defusekids,One One,19,22,Inferno
Team2,Defusekids,Phoenix,11,16,Inferno
Team2,Defusekids,Prima,12,16,Train
Team2,Defusekids,Squared,14,16,Train
Team2,Defusekids,Turkey5,13,16,Dust2
Team2,Defusekids,Wisla Krakow,13,16,Nuke
Team2,Defusekids,dizLown,10,16,Mirage
Team2,Defusekids,mCon,16,6,Mirage
