Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Demolition Crew,BIG,7,16,Mirage
Team1,Demolition Crew,Copenhagen Flames,10,16,Mirage
Team1,Demolition Crew,Movistar Riders,16,13,Train
Team1,Demolition Crew,Nordavind,8,16,Inferno
Team1,Demolition Crew,PACT,5,16,Overpass
Team1,Demolition Crew,Spirit,9,16,Nuke
Team2,Demolition Crew,AGO,16,6,Dust2
Team2,Demolition Crew,Copenhagen Flames,16,19,Nuke
Team2,Demolition Crew,HAVU,10,16,Dust2
Team2,Demolition Crew,Illuminar,16,6,Nuke
Team2,Demolition Crew,Nemiga,13,16,Nuke
Team2,Demolition Crew,SKADE,12,16,Inferno
Team2,Demolition Crew,pro100,11,16,Inferno
