Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Dignitas fe,Assassins,14,16,Overpass
Team1,Dignitas fe,Assassins,6,16,Vertigo
Team1,Dignitas fe,Besiktas,16,1,Inferno
Team1,Dignitas fe,CLG Red,16,10,Nuke
Team1,Dignitas fe,Carnage fe,16,14,Inferno
Team1,Dignitas fe,Kinship,14,16,Dust2
Team1,Dignitas fe,Kinship,19,16,Nuke
Team1,Dignitas fe,Monolith fe,16,8,Inferno
Team1,Dignitas fe,paiN fe,16,1,Train
Team1,Dignitas fe,paiN fe,16,6,Mirage
Team2,Dignitas fe,CLG Red,16,4,Mirage
Team2,Dignitas fe,Demise fe,23,25,Dust2
Team2,Dignitas fe,Monolith fe,16,8,Nuke
Team2,Dignitas fe,Orange.Sphynx,16,2,Train
Team2,Dignitas fe,Orgless fe,16,8,Train
Team2,Dignitas fe,eParadise Angels,16,4,Mirage
Team2,Dignitas fe,eParadise Angels,16,6,Overpass
