Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Divine,Bad News Bandits,16,10,Overpass
Team1,Divine,CSGO-MDL,12,16,Inferno
Team1,Divine,CSGO-MDL,5,16,Overpass
Team1,Divine,CSGO-MDL,7,16,Mirage
Team1,Divine,INTZ,4,16,Overpass
Team1,Divine,INTZ,5,16,Vertigo
Team1,Divine,Infinity,16,14,Mirage
Team1,Divine,J Money Crew,16,10,Dust2
Team1,Divine,J Money Crew,16,7,Dust2
Team1,Divine,Just Swing,16,10,Overpass
Team1,Divine,LiViD,16,13,Nuke
Team1,Divine,Mythic,16,12,Vertigo
Team1,Divine,New England Whalers,16,14,Mirage
Team1,Divine,New Identity,16,9,Mirage
Team1,Divine,Oceanus,16,11,Dust2
Team1,Divine,Oceanus,16,8,Train
Team1,Divine,Rap Gang,16,13,Mirage
Team1,Divine,Rap Gang,16,13,Nuke
Team1,Divine,Sharks,3,16,Mirage
Team1,Divine,Sharks,8,16,Vertigo
Team1,Divine,Sharks,9,16,Vertigo
Team1,Divine,TeamOne,8,16,Mirage
Team1,Divine,Thunder Logic,16,11,Mirage
Team1,Divine,Ze Pug Godz,7,16,Inferno
Team2,Divine,Ascent,16,9,Nuke
Team2,Divine,Bad News Bandits,16,5,Train
Team2,Divine,CSGO-MDL,11,16,Overpass
Team2,Divine,CSGO-MDL,16,8,Dust2
Team2,Divine,Chaos,11,16,Overpass
Team2,Divine,J Money Crew,12,16,Vertigo
Team2,Divine,MAC-51,16,8,Inferno
Team2,Divine,Monstars,10,16,Overpass
Team2,Divine,Mythic,15,19,Overpass
Team2,Divine,New England Whalers,16,4,Dust2
Team2,Divine,Oceanus,16,9,Dust2
Team2,Divine,Rap Gang,12,16,Overpass
Team2,Divine,Rap Gang,16,6,Inferno
Team2,Divine,Rap Gang,16,8,Dust2
Team2,Divine,Rugratz,14,16,Mirage
Team2,Divine,Russian Street Party,16,4,Overpass
Team2,Divine,Station7,16,7,Mirage
Team2,Divine,TeamOne,14,16,Dust2
Team2,Divine,TeamOne,14,16,Overpass
Team2,Divine,Ze Pug Godz,13,16,Dust2
