Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,DreamEaters,ALTERNATE aTTaX,16,13,Inferno
Team1,DreamEaters,AVANGAR,23,25,Overpass
Team1,DreamEaters,AVANGAR,8,16,Dust2
Team1,DreamEaters,AVEZ,16,11,Dust2
Team1,DreamEaters,Ambush,16,11,Dust2
Team1,DreamEaters,BLUEJAYS,19,17,Vertigo
Team1,DreamEaters,BLUEJAYS,9,16,Mirage
Team1,DreamEaters,CR4ZY,11,16,Mirage
Team1,DreamEaters,Chaos,16,12,Inferno
Team1,DreamEaters,Copenhagen Flames,22,19,Inferno
Team1,DreamEaters,Dracarys,16,9,Train
Team1,DreamEaters,Dracarys,6,16,Mirage
Team1,DreamEaters,EXTREMUM,3,16,Nuke
Team1,DreamEaters,EXTREMUM,8,16,Train
Team1,DreamEaters,FCG,16,1,Dust2
Team1,DreamEaters,G2,9,16,Overpass
Team1,DreamEaters,GamerLegion,16,14,Train
Team1,DreamEaters,GamerLegion,8,16,Dust2
Team1,DreamEaters,Giants,16,13,Dust2
Team1,DreamEaters,HAVU,16,11,Train
Team1,DreamEaters,HAVU,16,9,Dust2
Team1,DreamEaters,INTZ,16,12,Dust2
Team1,DreamEaters,Illuminar,19,16,Inferno
Team1,DreamEaters,Kungar,16,12,Inferno
Team1,DreamEaters,LDLC,16,13,Train
Team1,DreamEaters,NAVI Junior,8,16,Overpass
Team1,DreamEaters,NRG,19,17,Overpass
Team1,DreamEaters,Nemiga,16,10,Mirage
Team1,DreamEaters,Nemiga,16,14,Overpass
Team1,DreamEaters,Nemiga,16,7,Dust2
Team1,DreamEaters,Nemiga,3,16,Dust2
Team1,DreamEaters,Nemiga,6,16,Cache
Team1,DreamEaters,NoChance,5,16,Dust2
Team1,DreamEaters,OFFSET,16,4,Train
Team1,DreamEaters,OneWay,16,5,Overpass
Team1,DreamEaters,QQ,16,13,Cache
Team1,DreamEaters,QQ,16,4,Inferno
Team1,DreamEaters,Renegades,8,16,Train
Team1,DreamEaters,SKADE,2,16,Nuke
Team1,DreamEaters,SKADE,6,16,Overpass
Team1,DreamEaters,SKADE,7,16,Inferno
Team1,DreamEaters,SKADE,8,16,Inferno
Team1,DreamEaters,Sharks,16,13,Mirage
Team1,DreamEaters,Skin Ogres,13,16,Dust2
Team1,DreamEaters,Syman,16,19,Train
Team1,DreamEaters,Syman,18,22,Nuke
Team1,DreamEaters,Tricked,5,16,Overpass
Team1,DreamEaters,Tricked,6,16,Nuke
Team1,DreamEaters,Unicorns of Love,8,16,Dust2
Team1,DreamEaters,Vaevictis,16,11,Inferno
Team1,DreamEaters,Vega Squadron,13,16,Train
Team1,DreamEaters,Vega Squadron,16,11,Inferno
Team1,DreamEaters,Vega Squadron,4,16,Overpass
Team1,DreamEaters,Vega Squadron,7,16,Mirage
Team1,DreamEaters,Vexed,8,16,Mirage
Team1,DreamEaters,Windigo,14,16,Mirage
Team1,DreamEaters,Windigo,16,11,Overpass
Team1,DreamEaters,Windigo,9,16,Dust2
Team1,DreamEaters,Windigo Academy,13,16,Overpass
Team1,DreamEaters,Windigo Academy,16,12,Mirage
Team1,DreamEaters,eL'quvet,16,14,Dust2
Team2,DreamEaters,AGO,16,6,Overpass
Team2,DreamEaters,ALTERNATE aTTaX,17,19,Overpass
Team2,DreamEaters,Ambush,11,16,Train
Team2,DreamEaters,Copenhagen Flames,12,16,Overpass
Team2,DreamEaters,Copenhagen Flames,13,16,Mirage
Team2,DreamEaters,Dracarys,16,6,Inferno
Team2,DreamEaters,Espada,11,16,Inferno
Team2,DreamEaters,FCG,16,5,Inferno
Team2,DreamEaters,HAVU,14,16,Overpass
Team2,DreamEaters,Illuminar,16,9,Mirage
Team2,DreamEaters,Kungar,16,8,Mirage
Team2,DreamEaters,NAVI Junior,12,16,Vertigo
Team2,DreamEaters,Nemiga,14,16,Inferno
Team2,DreamEaters,Nemiga,16,9,Dust2
Team2,DreamEaters,OneWay,16,5,Train
Team2,DreamEaters,Renegades,10,16,Mirage
Team2,DreamEaters,Skin Ogres,16,19,Overpass
Team2,DreamEaters,Spirit,16,3,Overpass
Team2,DreamEaters,Syman,10,16,Overpass
Team2,DreamEaters,Syman,16,9,Inferno
Team2,DreamEaters,Syman,16,9,Mirage
Team2,DreamEaters,Syman,20,22,Dust2
Team2,DreamEaters,Unique,16,19,Mirage
Team2,DreamEaters,Unique,16,5,Overpass
Team2,DreamEaters,Unique,16,6,Inferno
Team2,DreamEaters,Unique,16,6,Mirage
Team2,DreamEaters,Unique,16,7,Dust2
Team2,DreamEaters,Unique,16,8,Dust2
Team2,DreamEaters,Unique,16,9,Nuke
Team2,DreamEaters,Vega Squadron,16,8,Mirage
Team2,DreamEaters,Vexed,16,7,Overpass
Team2,DreamEaters,Vexed,16,8,Inferno
