Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,ETHEREAL,AA,6,16,Overpass
Team1,ETHEREAL,DEFY,16,14,Vertigo
Team1,ETHEREAL,DEFY,16,8,Overpass
Team1,ETHEREAL,Faint,5,16,Overpass
Team1,ETHEREAL,Just Swing,13,16,Train
Team1,ETHEREAL,Oceanus,18,22,Mirage
Team1,ETHEREAL,Polar Ace,6,16,Inferno
Team1,ETHEREAL,bloo,16,13,Inferno
Team1,ETHEREAL,timbermen,16,14,Mirage
Team1,ETHEREAL,timbermen,16,9,Overpass
Team2,ETHEREAL,AA,16,7,Inferno
Team2,ETHEREAL,Just Swing,13,16,Overpass
Team2,ETHEREAL,Rebirth,16,19,Train
Team2,ETHEREAL,The Quest,16,19,Nuke
