Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,EURONICS,3DMAX,6,16,Overpass
Team1,EURONICS,ALTERNATE aTTaX,10,16,Dust2
Team1,EURONICS,Endpoint,16,2,Dust2
Team1,EURONICS,Endpoint,19,17,Overpass
Team1,EURONICS,HAVU,11,16,Mirage
Team1,EURONICS,Tricked,7,16,Cache
Team1,EURONICS,Windigo,5,16,Dust2
Team1,EURONICS,Windigo,5,16,Dust2
Team1,EURONICS,Windigo,5,16,Overpass
Team1,EURONICS,Windigo,8,16,Overpass
Team1,EURONICS,expert,14,16,Train
Team1,EURONICS,expert,5,16,Dust2
Team1,EURONICS,unknown,19,17,Nuke
Team1,EURONICS,x6tence Galaxy,8,16,Dust2
Team2,EURONICS,3DMAX,11,16,Mirage
Team2,EURONICS,ALTERNATE aTTaX,16,19,Overpass
Team2,EURONICS,HAVU,11,16,Nuke
Team2,EURONICS,Tricked,13,16,Mirage
Team2,EURONICS,x6tence Galaxy,16,19,Mirage
