Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,EXTREMUM,Dracarys,6,16,Train
Team1,EXTREMUM,DreamEaters,16,10,Inferno
Team1,EXTREMUM,Espada,16,11,Train
Team1,EXTREMUM,Espada,3,16,Nuke
Team1,EXTREMUM,FATE,4,16,Overpass
Team1,EXTREMUM,Hard Legion,4,16,Inferno
Team1,EXTREMUM,Hard Legion,9,16,Dust2
Team1,EXTREMUM,HellRaisers,16,13,Mirage
Team1,EXTREMUM,HellRaisers,19,17,Overpass
Team1,EXTREMUM,Kungar,11,16,Inferno
Team1,EXTREMUM,Kungar,22,20,Train
Team1,EXTREMUM,MELBET,4,16,Dust2
Team1,EXTREMUM,MELBET,8,16,Train
Team1,EXTREMUM,NOTBAD,15,19,Mirage
Team1,EXTREMUM,NOTBAD,9,16,Nuke
Team1,EXTREMUM,Rocketlauncher$,16,12,Mirage
Team1,EXTREMUM,Rocketlauncher$,5,16,Overpass
Team1,EXTREMUM,Rocketlauncher$,9,16,Overpass
Team1,EXTREMUM,SG.pro,8,16,Mirage
Team1,EXTREMUM,Spirit,14,16,Train
Team1,EXTREMUM,Spirit,22,18,Vertigo
Team1,EXTREMUM,pro100,13,16,Dust2
Team2,EXTREMUM,DreamEaters,12,16,Mirage
Team2,EXTREMUM,DreamEaters,16,6,Nuke
Team2,EXTREMUM,Hard Legion,16,8,Mirage
Team2,EXTREMUM,Rocketlauncher$,14,16,Mirage
Team2,EXTREMUM,Rocketlauncher$,16,9,Dust2
Team2,EXTREMUM,SG.pro,14,16,Vertigo
Team2,EXTREMUM,Spirit,10,16,Mirage
Team2,EXTREMUM,Unique,11,16,Inferno
Team2,EXTREMUM,Unique,11,16,Nuke
Team2,EXTREMUM,pro100,16,19,Overpass
