Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Endpoint,AGO,16,10,Vertigo
Team1,Endpoint,AGO,16,12,Train
Team1,Endpoint,ALTERNATE aTTaX,10,16,Inferno
Team1,Endpoint,ALTERNATE aTTaX,19,17,Vertigo
Team1,Endpoint,ALTERNATE aTTaX,22,19,Overpass
Team1,Endpoint,AVEZ,16,10,Vertigo
Team1,Endpoint,Akopalipsa,16,11,Mirage
Team1,Endpoint,Akopalipsa,9,16,Inferno
Team1,Endpoint,Akopalipsa,9,16,Nuke
Team1,Endpoint,Apeks,16,9,Vertigo
Team1,Endpoint,BuzzKill,16,14,Mirage
Team1,Endpoint,BuzzKill,7,16,Dust2
Team1,Endpoint,CeX,16,4,Dust2
Team1,Endpoint,Complexity,2,16,Mirage
Team1,Endpoint,Complexity,2,16,Mirage
Team1,Endpoint,Complexity,9,16,Dust2
Team1,Endpoint,Complexity,9,16,Vertigo
Team1,Endpoint,Copenhagen Flames,6,16,Overpass
Team1,Endpoint,FATE,12,16,Vertigo
Team1,Endpoint,FURIA,6,16,Inferno
Team1,Endpoint,Flow,16,12,Dust2
Team1,Endpoint,HellRaisers,16,14,Dust2
Team1,Endpoint,Illuminar,16,10,Mirage
Team1,Endpoint,Illuminar,16,8,Inferno
Team1,Endpoint,Illuminar,16,8,Train
Team1,Endpoint,Izako Boars,12,16,Overpass
Team1,Endpoint,Izako Boars,16,10,Dust2
Team1,Endpoint,KOVA,11,16,Dust2
Team1,Endpoint,London,10,16,Train
Team1,Endpoint,London,19,17,Train
Team1,Endpoint,London,7,16,Mirage
Team1,Endpoint,Moraira,16,11,Mirage
Team1,Endpoint,Movistar Riders,16,10,Inferno
Team1,Endpoint,NLG,16,8,Vertigo
Team1,Endpoint,NOM,16,14,Mirage
Team1,Endpoint,NOM,9,16,Dust2
Team1,Endpoint,North,13,16,Train
Team1,Endpoint,OFFSET,14,16,Dust2
Team1,Endpoint,OFFSET,16,1,Dust2
Team1,Endpoint,Orgles5,16,11,Overpass
Team1,Endpoint,SG.pro,16,10,Vertigo
Team1,Endpoint,SG.pro,22,19,Overpass
Team1,Endpoint,SKADE,16,10,Dust2
