Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Envy,100 Thieves,16,10,Nuke
Team1,Envy,ATK,14,16,Nuke
Team1,Envy,Astralis,7,16,Train
Team1,Envy,Bad News Bears,16,11,Mirage
Team1,Envy,Cloud9,12,16,Dust2
Team1,Envy,Cloud9,14,16,Nuke
Team1,Envy,Cloud9,14,16,Train
Team1,Envy,Cloud9,16,10,Dust2
Team1,Envy,Cloud9,16,12,Overpass
Team1,Envy,Cloud9,7,16,Overpass
Team1,Envy,DETONA,22,20,Inferno
Team1,Envy,Denial,16,7,Inferno
Team1,Envy,Divine,16,10,Nuke
Team1,Envy,Divine,16,8,Inferno
Team1,Envy,FURIA,14,16,Mirage
Team1,Envy,FURIA,16,10,Nuke
Team1,Envy,FURIA,16,14,Vertigo
Team1,Envy,FURIA,6,16,Inferno
Team1,Envy,FURIA,8,16,Vertigo
Team1,Envy,FURIA,9,16,Mirage
Team1,Envy,Faint,16,8,Mirage
Team1,Envy,Gen.G,9,16,Mirage
Team1,Envy,Ghost,16,13,Cache
Team1,Envy,Ghost,8,16,Inferno
Team1,Envy,INTZ,16,12,Dust2
Team1,Envy,INTZ,16,13,Dust2
Team1,Envy,INTZ,16,8,Overpass
Team1,Envy,INTZ,8,16,Train
Team1,Envy,Lazarus,16,11,Nuke
Team1,Envy,Lazarus,2,16,Mirage
Team1,Envy,Lazarus,5,16,Train
Team1,Envy,Liquid,6,16,Mirage
Team1,Envy,Luminosity,7,16,Inferno
Team1,Envy,MIBR,5,16,Inferno
Team1,Envy,NRG,9,16,Mirage
Team1,Envy,New Identity,16,7,Inferno
Team1,Envy,New Identity,16,9,Inferno
Team1,Envy,Recon 5,13,16,Inferno
Team1,Envy,Singularity,19,17,Inferno
Team1,Envy,Singularity,7,16,Nuke
Team1,Envy,Singularity,8,16,Nuke
Team1,Envy,Swole Patrol,16,9,Nuke
Team1,Envy,TeamOne,19,17,Dust2
Team1,Envy,TeamOne,19,17,Nuke
Team1,Envy,TeamOne,5,16,Dust2
Team1,Envy,TeamOne,8,16,Train
Team1,Envy,Win Scrims Not Matches,16,13,Dust2
Team1,Envy,Win Scrims Not Matches,16,14,Mirage
Team1,Envy,Winstrike,4,16,Overpass
Team1,Envy,Yeah,16,11,Inferno
Team1,Envy,Yeah,16,12,Overpass
Team1,Envy,Yeah,16,2,Nuke
Team1,Envy,absolute mad lads,16,7,Nuke
Team1,Envy,eUnited,11,16,Train
Team1,Envy,eUnited,14,16,Inferno
Team1,Envy,eUnited,16,10,Nuke
Team1,Envy,nambla,6,16,Inferno
Team2,Envy,ATK,14,16,Overpass
Team2,Envy,Denial,13,16,Train
Team2,Envy,FURIA,12,16,Nuke
Team2,Envy,FURIA,14,16,Inferno
Team2,Envy,Faint,16,4,Nuke
Team2,Envy,Ghost,13,16,Dust2
Team2,Envy,Just Swing,16,3,Inferno
Team2,Envy,Liquid,1,16,Vertigo
Team2,Envy,Luminosity,16,9,Train
Team2,Envy,MIBR,15,19,Train
Team2,Envy,NRG,11,16,Overpass
Team2,Envy,New Identity,10,16,Overpass
Team2,Envy,New Identity,16,7,Mirage
Team2,Envy,Recon 5,16,9,Nuke
Team2,Envy,Swole Patrol,12,16,Train
Team2,Envy,Swole Patrol,14,16,Mirage
Team2,Envy,TeamOne,12,16,Overpass
Team2,Envy,TeamOne,16,3,Dust2
Team2,Envy,Thunder Logic,16,6,Inferno
Team2,Envy,Yeah,16,2,Mirage
Team2,Envy,absolute mad lads,13,16,Overpass
Team2,Envy,nambla,12,16,Mirage
