Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,FURY,Airborne,16,13,Inferno
Team1,FURY,Ground Zero,6,16,Inferno
Team1,FURY,Paradox,8,16,Inferno
Team1,FURY,ex-Genuine,5,16,Inferno
Team1,FURY,i sleep,19,17,Vertigo
Team1,FURY,really weird,10,16,Inferno
Team1,FURY,really weird,16,13,Mirage
Team1,FURY,rozu,16,5,Nuke
Team2,FURY,AVANT,11,16,Inferno
Team2,FURY,Chiefs,13,16,Dust2
Team2,FURY,Esper,12,16,Vertigo
Team2,FURY,Paradox,12,16,Dust2
Team2,FURY,Paradox,16,5,Dust2
Team2,FURY,eXtatus,11,16,Mirage
Team2,FURY,madlikewizards,13,16,Nuke
Team2,FURY,rozu,16,6,Train
