Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,FaZe,100 Thieves,16,12,Dust2
Team1,FaZe,ARCY,16,12,Dust2
Team1,FaZe,ARCY,16,14,Nuke
Team1,FaZe,Astralis,7,16,Inferno
Team1,FaZe,BIG,14,16,Train
Team1,FaZe,BIG,16,11,Nuke
Team1,FaZe,BIG,16,14,Cache
Team1,FaZe,BIG,16,8,Inferno
Team1,FaZe,BIG,5,16,Train
Team1,FaZe,CR4ZY,9,16,Mirage
Team1,FaZe,Cloud9,16,14,Cache
Team1,FaZe,Cloud9,16,19,Mirage
Team1,FaZe,Cloud9,16,9,Dust2
Team1,FaZe,Cloud9,16,9,Train
Team1,FaZe,Complexity,16,11,Mirage
Team1,FaZe,Complexity,8,16,Cache
Team1,FaZe,Copenhagen Flames,16,5,Dust2
Team1,FaZe,ENCE,10,16,Overpass
Team1,FaZe,ENCE,12,16,Dust2
Team1,FaZe,ENCE,16,10,Mirage
Team1,FaZe,ENCE,22,19,Dust2
Team1,FaZe,ENCE,9,16,Nuke
Team1,FaZe,Evil Geniuses,19,16,Dust2
Team1,FaZe,G2,10,16,Mirage
Team1,FaZe,G2,12,16,Train
Team1,FaZe,G2,16,11,Dust2
Team1,FaZe,G2,25,23,Dust2
Team1,FaZe,G2,8,16,Dust2
Team1,FaZe,GODSENT,16,11,Nuke
Team1,FaZe,Grayhound,16,12,Dust2
Team1,FaZe,HellRaisers,16,13,Overpass
Team1,FaZe,HellRaisers,16,14,Dust2
Team1,FaZe,Heroic,11,16,Dust2
Team1,FaZe,Liquid,11,16,Inferno
Team1,FaZe,Liquid,16,12,Dust2
Team1,FaZe,Liquid,16,12,Nuke
Team1,FaZe,Liquid,16,2,Dust2
Team1,FaZe,Liquid,5,16,Nuke
Team1,FaZe,Liquid,8,16,Cache
Team1,FaZe,MIBR,16,14,Inferno
Team1,FaZe,Movistar Riders,16,9,Mirage
Team1,FaZe,Movistar Riders,9,16,Overpass
Team1,FaZe,NRG,11,16,Mirage
Team1,FaZe,NRG,16,11,Nuke
Team1,FaZe,Natus Vincere,14,16,Inferno
Team1,FaZe,Natus Vincere,16,10,Overpass
Team1,FaZe,NiP,16,12,Dust2
Team1,FaZe,NiP,16,14,Mirage
Team1,FaZe,NiP,16,4,Dust2
Team1,FaZe,NiP,16,8,Mirage
Team1,FaZe,NiP,19,17,Nuke
Team1,FaZe,NiP,25,22,Mirage
Team1,FaZe,NiP,5,16,Overpass
Team1,FaZe,NiP,7,16,Mirage
Team1,FaZe,NiP,9,16,Overpass
Team1,FaZe,North,13,16,Inferno
Team1,FaZe,North,16,11,Overpass
Team1,FaZe,North,16,8,Mirage
Team1,FaZe,North,4,16,Inferno
Team1,FaZe,OG,16,12,Mirage
Team1,FaZe,OG,16,13,Inferno
Team1,FaZe,OG,16,7,Nuke
Team1,FaZe,OpTic,10,16,Nuke
Team1,FaZe,OpTic,16,11,Mirage
Team1,FaZe,OpTic,16,12,Nuke
Team1,FaZe,OpTic,8,16,Dust2
Team1,FaZe,Renegades,16,10,Mirage
Team1,FaZe,Renegades,16,11,Dust2
Team1,FaZe,Renegades,16,12,Inferno
Team1,FaZe,Renegades,16,14,Mirage
Team1,FaZe,Renegades,16,3,Nuke
Team1,FaZe,TYLOO,16,10,Inferno
Team1,FaZe,TYLOO,16,5,Dust2
Team1,FaZe,TYLOO,16,8,Mirage
Team1,FaZe,TYLOO,7,16,Inferno
Team1,FaZe,Virtus.pro,16,11,Overpass
Team1,FaZe,Virtus.pro,16,13,Mirage
Team1,FaZe,Virtus.pro,16,13,Overpass
Team1,FaZe,Virtus.pro,16,3,Mirage
Team1,FaZe,Vitality,16,10,Inferno
Team1,FaZe,Vitality,16,11,Inferno
Team1,FaZe,Vitality,16,12,Mirage
Team1,FaZe,Vitality,3,16,Inferno
Team1,FaZe,c0ntact,19,15,Dust2
Team1,FaZe,fnatic,16,9,Train
Team1,FaZe,fnatic,6,16,Inferno
