Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Fierce,Ambush,3,16,Overpass
Team1,Fierce,BIG,4,16,Inferno
Team1,Fierce,BIG,6,16,Mirage
Team1,Fierce,BLUEJAYS,16,14,Nuke
Team1,Fierce,BuzzKill,16,12,Nuke
Team1,Fierce,BuzzKill,22,20,Mirage
Team1,Fierce,Chetz,6,16,Inferno
Team1,Fierce,DarkSpawn,17,19,Train
Team1,Fierce,Endpoint,8,16,Train
Team1,Fierce,Endpoint,9,16,Mirage
Team1,Fierce,Exillium,16,8,Overpass
Team1,Fierce,LOG,16,12,Dust2
Team1,Fierce,LOG,16,5,Nuke
Team1,Fierce,London,8,16,Nuke
Team1,Fierce,Nordavind,16,14,Nuke
Team1,Fierce,Nordavind,8,16,Overpass
Team1,Fierce,PACT,8,16,Inferno
Team1,Fierce,PACT,9,16,Mirage
Team1,Fierce,PRINCEADIL,16,10,Inferno
Team1,Fierce,PRINCEADIL,16,10,Mirage
Team1,Fierce,SJ,16,13,Inferno
Team1,Fierce,SJ,2,16,Dust2
Team1,Fierce,The Pensioners,9,16,Overpass
Team1,Fierce,Wind and Rain,13,16,Inferno
Team1,Fierce,Wind and Rain,16,4,Overpass
Team2,Fierce,BLUEJAYS,16,9,Vertigo
Team2,Fierce,BuzzKill,14,16,Inferno
Team2,Fierce,Chetz,10,16,Nuke
Team2,Fierce,DarkSpawn,16,8,Inferno
Team2,Fierce,Exillium,10,16,Train
Team2,Fierce,Heretics,11,16,Vertigo
Team2,Fierce,Heretics,14,16,Nuke
Team2,Fierce,London,12,16,Inferno
Team2,Fierce,PRINCEADIL,10,16,Nuke
Team2,Fierce,Wind and Rain,12,16,Dust2
Team2,Fierce,Wind and Rain,12,16,Train
