Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Final Feature,Luminosity,8,16,Mirage
Team1,Final Feature,Party Astronauts,13,16,Nuke
Team1,Final Feature,Party Astronauts,5,16,Overpass
Team1,Final Feature,The Fundamentals,16,11,Inferno
Team1,Final Feature,Zone,16,12,Inferno
Team1,Final Feature,Zone,7,16,Dust2
Team1,Final Feature,absolute mad lads,9,16,Overpass
Team2,Final Feature,FURIA,13,16,Mirage
Team2,Final Feature,Lazarus,10,16,Mirage
Team2,Final Feature,Lazarus,13,16,Inferno
Team2,Final Feature,Mythic,12,16,Overpass
Team2,Final Feature,absolute mad lads,16,7,Nuke
Team2,Final Feature,iNTACT,11,16,Overpass
