Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Furious,9z,16,14,Overpass
Team1,Furious,Absolute,8,16,Dust2
Team1,Furious,All Knights,14,16,Train
Team1,Furious,Atrapa2,9,16,Mirage
Team1,Furious,DETONA,2,16,Mirage
Team1,Furious,DETONA,5,16,Train
Team1,Furious,Denial,19,16,Mirage
Team1,Furious,Denial,4,16,Inferno
Team1,Furious,Hawks,16,10,Train
Team1,Furious,Hawks,16,2,Nuke
Team1,Furious,Hawks,9,16,Overpass
Team1,Furious,Isurus,17,19,Overpass
Team1,Furious,Latingamers,16,4,Mirage
Team1,Furious,Latingamers,9,16,Inferno
Team1,Furious,MITOS,16,14,Dust2
Team1,Furious,Malvinas,19,16,Inferno
Team1,Furious,Malvinas,2,16,Mirage
Team1,Furious,Malvinas,8,16,Nuke
Team1,Furious,Malvinas,9,16,Nuke
Team1,Furious,Redemption POA,19,15,Mirage
Team1,Furious,Redemption POA,9,16,Dust2
Team1,Furious,S2N,16,11,Dust2
Team1,Furious,S2N,16,11,Mirage
Team1,Furious,S2N,16,13,Dust2
Team1,Furious,S2N,5,16,Train
Team1,Furious,Sinisters,16,10,Mirage
Team1,Furious,Sinisters,16,11,Inferno
Team1,Furious,Sinisters,16,13,Dust2
Team1,Furious,Sinisters,8,16,Inferno
Team1,Furious,Sinisters,9,16,Dust2
Team1,Furious,Young Blood,16,11,Inferno
Team2,Furious,Absolute,20,22,Cache
Team2,Furious,All Knights,10,16,Mirage
Team2,Furious,All Knights,13,16,Dust2
Team2,Furious,All Knights,13,16,Mirage
Team2,Furious,All Knights,14,16,Inferno
Team2,Furious,Atrapa2,16,3,Overpass
Team2,Furious,Atrapa2,16,8,Cache
Team2,Furious,Bring It On,16,7,Inferno
Team2,Furious,Evidence,10,16,Inferno
Team2,Furious,Evidence,12,16,Dust2
Team2,Furious,Hawks,10,16,Train
Team2,Furious,Latingamers,14,16,Dust2
Team2,Furious,MITOS,12,16,Nuke
Team2,Furious,MITOS,16,5,Mirage
Team2,Furious,Malvinas,13,16,Dust2
Team2,Furious,PELAFUSTANES,14,16,Dust2
Team2,Furious,S2N,16,8,Nuke
Team2,Furious,Sinisters,14,16,Overpass
