Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,G2,3DMAX,10,16,Cache
Team1,G2,3DMAX,16,6,Dust2
Team1,G2,AGO,14,16,Vertigo
Team1,G2,AGO,16,12,Mirage
Team1,G2,AVANGAR,16,11,Vertigo
Team1,G2,AVANGAR,19,16,Train
Team1,G2,AVANGAR,9,16,Overpass
Team1,G2,Absolute,16,1,Dust2
Team1,G2,Absolute,16,12,Mirage
Team1,G2,Astralis,2,16,Vertigo
Team1,G2,Astralis,6,16,Nuke
Team1,G2,Astralis,7,16,Dust2
Team1,G2,BIG,12,16,Dust2
Team1,G2,BIG,16,12,Inferno
Team1,G2,BIG,16,12,Inferno
Team1,G2,BIG,16,6,Dust2
Team1,G2,BIG,8,16,Cache
Team1,G2,BLUEJAYS,16,11,Inferno
Team1,G2,CR4ZY,16,11,Dust2
Team1,G2,CR4ZY,8,16,Vertigo
Team1,G2,Cloud9,16,12,Inferno
Team1,G2,Cloud9,16,13,Overpass
Team1,G2,Copenhagen Flames,16,14,Dust2
Team1,G2,Copenhagen Flames,6,16,Inferno
Team1,G2,ENCE,16,11,Overpass
Team1,G2,ENCE,16,13,Mirage
Team1,G2,ENCE,16,8,Dust2
Team1,G2,ENCE,19,17,Train
Team1,G2,Epsilon,16,12,Inferno
Team1,G2,Epsilon,8,16,Train
Team1,G2,Evil Geniuses,5,16,Mirage
Team1,G2,Evil Geniuses,5,16,Overpass
Team1,G2,Evil Geniuses,7,16,Nuke
Team1,G2,Evil Geniuses,8,16,Dust2
Team1,G2,FURIA,16,11,Nuke
Team1,G2,FURIA,16,14,Train
Team1,G2,FURIA,16,14,Vertigo
Team1,G2,FaZe,11,16,Dust2
Team1,G2,FaZe,11,16,Nuke
Team1,G2,FaZe,15,19,Dust2
Team1,G2,FaZe,16,11,Nuke
Team1,G2,FaZe,16,14,Nuke
Team1,G2,FaZe,5,16,Dust2
Team1,G2,Ghost,16,6,Dust2
Team1,G2,Grayhound,16,13,Nuke
Team1,G2,HellRaisers,16,13,Nuke
Team1,G2,Heretics,16,14,Nuke
Team1,G2,Heretics,16,19,Dust2
Team1,G2,Heroic,16,13,Vertigo
Team1,G2,Heroic,16,7,Cache
Team1,G2,Liquid,12,16,Nuke
Team1,G2,Liquid,16,10,Vertigo
Team1,G2,Liquid,16,11,Dust2
Team1,G2,Liquid,16,12,Nuke
Team1,G2,Liquid,16,13,Dust2
Team1,G2,Liquid,19,17,Inferno
Team1,G2,Liquid,3,16,Dust2
Team1,G2,Liquid,3,16,Overpass
Team1,G2,Liquid,8,16,Overpass
Team1,G2,Liquid,8,16,Overpass
Team1,G2,Liquid,9,16,Inferno
Team1,G2,MAD Lions,16,14,Dust2
Team1,G2,MIBR,16,12,Dust2
Team1,G2,NRG,16,10,Overpass
Team1,G2,NRG,16,11,Inferno
Team1,G2,NRG,16,11,Train
Team1,G2,NRG,17,19,Dust2
Team1,G2,Natus Vincere,16,11,Nuke
Team1,G2,Natus Vincere,2,16,Mirage
Team1,G2,NiP,16,10,Overpass
Team1,G2,NiP,16,12,Dust2
Team1,G2,NiP,8,16,Mirage
Team1,G2,North,16,14,Dust2
Team1,G2,North,16,8,Inferno
Team1,G2,OG,16,6,Dust2
Team1,G2,OG,5,16,Dust2
Team1,G2,OG,7,16,Mirage
Team1,G2,OG,8,16,Dust2
Team1,G2,OpTic,11,16,Dust2
Team1,G2,OpTic,16,12,Nuke
Team1,G2,OpTic,22,20,Dust2
Team1,G2,Renegades,16,13,Train
Team1,G2,Renegades,19,17,Train
Team1,G2,Revolution,16,0,Dust2
Team1,G2,Revolution,16,1,Cache
Team1,G2,Sharks,16,13,Inferno
Team1,G2,Singularity,16,6,Overpass
Team1,G2,Sprout,16,12,Dust2
Team1,G2,TYLOO,14,16,Dust2
Team1,G2,TYLOO,16,2,Dust2
Team1,G2,Tricked,16,7,Dust2
Team1,G2,Tricked,16,7,Inferno
Team1,G2,Tricked,19,15,Train
Team1,G2,Tricked,9,16,Train
Team1,G2,Valiance,16,3,Dust2
Team1,G2,Valiance,17,19,Dust2
Team1,G2,Vega Squadron,16,14,Cache
Team1,G2,Virtus.pro,16,12,Train
Team1,G2,Vitality,14,16,Vertigo
Team1,G2,Vitality,16,14,Nuke
Team1,G2,Vitality,5,16,Cache
Team1,G2,Windigo,16,13,Dust2
Team1,G2,Windigo,19,16,Dust2
Team1,G2,Windigo,7,16,Overpass
Team1,G2,Winstrike,16,12,Train
Team1,G2,c0ntact,16,11,Mirage
Team1,G2,c0ntact,16,6,Overpass
Team1,G2,fnatic,11,16,Dust2
Team1,G2,fnatic,12,16,Mirage
Team1,G2,fnatic,16,11,Nuke
Team1,G2,fnatic,16,12,Inferno
Team1,G2,fnatic,16,8,Dust2
Team1,G2,fnatic,19,17,Inferno
Team1,G2,fnatic,4,16,Inferno
Team1,G2,fnatic,5,16,Train
Team1,G2,fnatic,8,16,Mirage
Team1,G2,forZe,14,16,Dust2
Team1,G2,mousesports,13,16,Dust2
Team1,G2,mousesports,16,1,Vertigo
Team1,G2,mousesports,16,7,Nuke
Team2,G2,100 Thieves,16,2,Dust2
Team2,G2,100 Thieves,16,3,Mirage
Team2,G2,3DMAX,16,6,Inferno
Team2,G2,AVANGAR,10,16,Overpass
Team2,G2,AVANGAR,11,16,Inferno
Team2,G2,AVANGAR,16,9,Dust2
Team2,G2,Astralis,14,16,Train
Team2,G2,Astralis,16,19,Nuke
Team2,G2,BLUEJAYS,16,6,Dust2
Team2,G2,ENCE,11,16,Train
Team2,G2,ENCE,14,16,Dust2
Team2,G2,Evil Geniuses,16,5,Dust2
Team2,G2,FaZe,20,22,Mirage
Team2,G2,FrenchFrogs,15,19,Nuke
Team2,G2,Ghost,13,16,Inferno
Team2,G2,HellRaisers,16,2,Train
Team2,G2,HellRaisers,16,5,Train
Team2,G2,Heroic,13,16,Nuke
Team2,G2,Heroic,17,19,Overpass
Team2,G2,Liquid,13,16,Overpass
Team2,G2,Liquid,15,19,Dust2
Team2,G2,MAD Lions,20,22,Train
Team2,G2,MIBR,11,16,Inferno
Team2,G2,MIBR,16,3,Train
Team2,G2,NRG,16,3,Overpass
Team2,G2,NRG,17,19,Train
Team2,G2,Natus Vincere,16,9,Overpass
Team2,G2,North,10,16,Vertigo
Team2,G2,North,16,8,Train
Team2,G2,OG,16,7,Inferno
Team2,G2,OG,16,8,Nuke
Team2,G2,One More Time,16,8,Dust2
Team2,G2,OpTic,17,19,Inferno
Team2,G2,Panda,16,3,Inferno
Team2,G2,Panda,16,7,Cache
Team2,G2,Renegades,14,16,Dust2
Team2,G2,Renegades,16,7,Inferno
Team2,G2,Singularity,16,4,Cache
Team2,G2,Sprout,16,5,Overpass
Team2,G2,TYLOO,12,16,Mirage
Team2,G2,TYLOO,16,7,Inferno
Team2,G2,Valiance,16,4,Train
Team2,G2,Virtus.pro,16,6,Mirage
Team2,G2,Virtus.pro,16,8,Dust2
Team2,G2,Virtus.pro,16,8,Train
Team2,G2,Windigo,14,16,Train
Team2,G2,Windigo,17,19,Cache
Team2,G2,Windigo,20,22,Train
Team2,G2,fnatic,16,5,Overpass
Team2,G2,fnatic,16,8,Dust2
Team2,G2,fnatic,16,8,Inferno
Team2,G2,forZe,14,16,Overpass
Team2,G2,forZe,16,5,Inferno
Team2,G2,mousesports,14,16,Dust2
Team2,G2,mousesports,16,5,Train
Team2,G2,mousesports,17,19,Mirage
