Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,GamerLegion,AGO,6,16,Inferno
Team1,GamerLegion,AGO,7,16,Dust2
Team1,GamerLegion,AVANGAR,16,13,Mirage
Team1,GamerLegion,AVANGAR,16,13,Overpass
Team1,GamerLegion,Ambush,16,14,Dust2
Team1,GamerLegion,Ambush,19,17,Inferno
Team1,GamerLegion,Ancient,16,13,Dust2
Team1,GamerLegion,Ancient,5,16,Overpass
Team1,GamerLegion,Aristocracy,10,16,Dust2
Team1,GamerLegion,Aristocracy,19,17,Dust2
Team1,GamerLegion,BIG,16,11,Mirage
Team1,GamerLegion,BIG,17,19,Dust2
Team1,GamerLegion,BIG,8,16,Train
Team1,GamerLegion,BIG,9,16,Inferno
Team1,GamerLegion,Budapest Five,16,10,Inferno
Team1,GamerLegion,Copenhagen Flames,16,10,Mirage
Team1,GamerLegion,Copenhagen Flames,16,13,Inferno
Team1,GamerLegion,Copenhagen Flames,16,19,Overpass
Team1,GamerLegion,Copenhagen Flames,16,9,Dust2
Team1,GamerLegion,Cream,25,23,Train
Team1,GamerLegion,Demolition Crew,16,12,Dust2
Team1,GamerLegion,DreamEaters,16,5,Overpass
Team1,GamerLegion,Espada,16,12,Mirage
Team1,GamerLegion,FATE,13,16,Overpass
Team1,GamerLegion,FATE,16,13,Inferno
Team1,GamerLegion,FURIA,16,11,Inferno
Team1,GamerLegion,FURIA,16,12,Vertigo
Team1,GamerLegion,G2,16,14,Overpass
Team1,GamerLegion,G2,20,22,Train
Team1,GamerLegion,G2,4,16,Nuke
Team1,GamerLegion,G2,4,16,Vertigo
Team1,GamerLegion,G2,6,16,Overpass
Team1,GamerLegion,Giants,16,13,Dust2
Team1,GamerLegion,HAVU,16,11,Nuke
Team1,GamerLegion,HAVU,16,12,Overpass
Team1,GamerLegion,HAVU,16,12,Overpass
Team1,GamerLegion,HAVU,16,14,Mirage
Team1,GamerLegion,HAVU,7,16,Train
Team1,GamerLegion,Hard Legion,22,25,Overpass
Team1,GamerLegion,Hard Legion,9,16,Inferno
Team1,GamerLegion,HellRaisers,16,11,Mirage
Team1,GamerLegion,HellRaisers,16,12,Inferno
Team1,GamerLegion,HellRaisers,22,20,Vertigo
Team1,GamerLegion,HellRaisers,5,16,Train
Team1,GamerLegion,Heretics,16,12,Inferno
Team1,GamerLegion,Heretics,16,12,Nuke
Team1,GamerLegion,Heretics,16,13,Mirage
Team1,GamerLegion,Heretics,9,16,Train
Team1,GamerLegion,Heroic,10,16,Inferno
Team1,GamerLegion,Heroic,14,16,Mirage
Team1,GamerLegion,Heroic,16,0,Overpass
Team1,GamerLegion,Heroic,16,8,Inferno
Team1,GamerLegion,Heroic,6,16,Vertigo
Team1,GamerLegion,Illuminar,16,10,Inferno
Team1,GamerLegion,Illuminar,19,16,Vertigo
Team1,GamerLegion,Izako Boars,16,10,Inferno
Team1,GamerLegion,Japaleno,16,14,Inferno
Team1,GamerLegion,Movistar Riders,16,11,Inferno
Team1,GamerLegion,Movistar Riders,7,16,Inferno
Team1,GamerLegion,NAVI Junior,16,10,Overpass
Team1,GamerLegion,NAVI Junior,19,15,Dust2
Team1,GamerLegion,Nemiga,14,16,Mirage
Team1,GamerLegion,Nemiga,16,7,Overpass
Team1,GamerLegion,Nemiga,22,18,Mirage
Team1,GamerLegion,NoChance,16,14,Dust2
Team1,GamerLegion,Nordavind,5,16,Mirage
Team1,GamerLegion,North,9,16,Dust2
Team1,GamerLegion,PACT,25,21,Mirage
Team1,GamerLegion,Se7en,16,10,Dust2
Team1,GamerLegion,Se7en,16,13,Inferno
Team1,GamerLegion,Spirit,10,16,Overpass
Team1,GamerLegion,Sprout,16,9,Cache
Team1,GamerLegion,Sprout,6,16,Train
Team1,GamerLegion,Tricked,16,14,Nuke
Team1,GamerLegion,Tricked,16,6,Inferno
Team1,GamerLegion,Tricked,16,8,Mirage
Team1,GamerLegion,Tricked,8,16,Overpass
Team1,GamerLegion,Virtus.pro,16,10,Mirage
Team1,GamerLegion,Virtus.pro,3,16,Overpass
Team1,GamerLegion,Virtus.pro,7,16,Nuke
Team1,GamerLegion,Virtus.pro,8,16,Inferno
Team1,GamerLegion,Windigo,16,10,Inferno
Team1,GamerLegion,Windigo,3,16,Train
Team1,GamerLegion,Windigo,8,16,Dust2
Team1,GamerLegion,ex-Epsilon,16,1,Dust2
Team1,GamerLegion,forZe,16,0,Mirage
Team1,GamerLegion,forZe,16,9,Dust2
Team1,GamerLegion,pro100,9,16,Dust2
Team2,GamerLegion,AVANGAR,13,16,Overpass
Team2,GamerLegion,AVANGAR,16,9,Dust2
Team2,GamerLegion,Ambush,13,16,Inferno
Team2,GamerLegion,Ambush,16,4,Overpass
Team2,GamerLegion,Apeks,16,9,Nuke
Team2,GamerLegion,BIG,12,16,Train
Team2,GamerLegion,CR4ZY,16,19,Dust2
