Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Genuine,AVANT,16,14,Overpass
Team1,Genuine,AVANT,9,16,Train
Team1,Genuine,Absolute,11,16,Train
Team1,Genuine,Absolute,9,16,Inferno
Team1,Genuine,Athletico,19,17,Mirage
Team1,Genuine,Breakaway,7,16,Train
Team1,Genuine,Chiefs,16,11,Train
Team1,Genuine,Chiefs,16,12,Nuke
Team1,Genuine,Chiefs,3,16,Inferno
Team1,Genuine,Chiefs,6,16,Inferno
Team1,Genuine,Control,16,13,Dust2
Team1,Genuine,Control,16,13,Train
Team1,Genuine,Corvidae,16,12,Vertigo
Team1,Genuine,Grayhound,16,12,Nuke
Team1,Genuine,Grayhound,2,16,Nuke
Team1,Genuine,Grayhound,9,16,Nuke
Team1,Genuine,Grayhound,9,16,Train
Team1,Genuine,Ground Zero,16,10,Inferno
Team1,Genuine,Ground Zero,7,16,Inferno
Team1,Genuine,Jade,16,14,Inferno
Team1,Genuine,Jade,16,5,Inferno
Team1,Genuine,Jade,8,16,Dust2
Team1,Genuine,MC,16,11,Nuke
Team1,Genuine,ORDER,10,16,Train
Team1,Genuine,ORDER,16,10,Nuke
Team1,Genuine,ORDER,16,10,Nuke
Team1,Genuine,ORDER,16,11,Nuke
Team1,Genuine,ORDER,8,16,Nuke
Team1,Genuine,ORDER,9,16,Inferno
Team1,Genuine,Paradox,16,13,Inferno
Team1,Genuine,Paradox,16,13,Inferno
Team1,Genuine,Paradox,16,14,Inferno
Team1,Genuine,Paradox,16,4,Nuke
Team1,Genuine,SYF,4,16,Nuke
Team1,Genuine,Spinach Farmers,16,11,Train
Team1,Genuine,TRIDENT,16,14,Train
Team1,Genuine,Tainted Minds,4,16,Cache
Team1,Genuine,madlikewizards,13,16,Train
Team1,Genuine,madlikewizards,16,1,Nuke
Team1,Genuine,madlikewizards,16,14,Mirage
Team1,Genuine,madlikewizards,19,16,Inferno
Team1,Genuine,rewound,16,11,Inferno
Team1,Genuine,rewound,16,11,Overpass
Team1,Genuine,rewound,16,14,Train
Team1,Genuine,rewound,16,7,Train
Team2,Genuine,AVANT,16,8,Train
Team2,Genuine,Athletico,12,16,Mirage
Team2,Genuine,Bizarre,16,9,Nuke
Team2,Genuine,Breakaway,10,16,Mirage
Team2,Genuine,Chiefs,16,19,Nuke
Team2,Genuine,Corvidae,16,7,Train
Team2,Genuine,Downfall,16,3,Nuke
Team2,Genuine,Fanta,16,8,Overpass
Team2,Genuine,Ground Zero,13,16,Mirage
Team2,Genuine,Ground Zero,13,16,Overpass
Team2,Genuine,Jade,13,16,Mirage
Team2,Genuine,Jade,16,6,Inferno
Team2,Genuine,MARKandLARRY,16,6,Nuke
Team2,Genuine,MC,16,9,Train
Team2,Genuine,MC,17,19,Overpass
Team2,Genuine,ORDER,14,16,Mirage
Team2,Genuine,Paradox,16,3,Inferno
Team2,Genuine,Paradox,16,4,Nuke
Team2,Genuine,Rooster,16,6,Train
Team2,Genuine,SYF,12,16,Overpass
Team2,Genuine,SYF,16,4,Train
Team2,Genuine,Spinach Farmers,16,8,Mirage
Team2,Genuine,TRIDENT,14,16,Mirage
Team2,Genuine,Tainted Minds,10,16,Inferno
Team2,Genuine,Watchmen,16,8,Overpass
Team2,Genuine,rewound,16,2,Train
