Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Global,5orgless,16,13,Train
Team1,Global,5orgless,16,6,Inferno
Team1,Global,Entity,16,11,Train
Team1,Global,Entity,16,12,Dust2
Team1,Global,Entity,6,16,Overpass
Team1,Global,Entity,7,16,Mirage
Team1,Global,Entity,7,16,Overpass
Team1,Global,Entity,8,16,Dust2
Team1,Global,Gaming Hub,10,16,Dust2
Team1,Global,Lucid Dream,3,16,Mirage
Team1,Global,Lucid Dream,4,16,Train
Team1,Global,Signify,7,16,Inferno
Team1,Global,Signify,7,16,Train
Team1,Global,Umumba,19,16,Inferno
Team1,Global,ZeGg,16,12,Vertigo
Team2,Global,Gaming Hub,11,16,Mirage
Team2,Global,Gaming Hub,16,8,Dust2
Team2,Global,ZeGg,16,5,Inferno
