Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Grayhound,AVANT,11,16,Overpass
Team1,Grayhound,AVANT,16,12,Mirage
Team1,Grayhound,AVANT,16,12,Mirage
Team1,Grayhound,AVANT,16,13,Mirage
Team1,Grayhound,AVANT,16,14,Mirage
Team1,Grayhound,AVANT,16,6,Nuke
Team1,Grayhound,AVANT,16,8,Mirage
Team1,Grayhound,AVANT,19,16,Dust2
Team1,Grayhound,Alpha Red,10,16,Overpass
Team1,Grayhound,Alpha Red,16,14,Overpass
Team1,Grayhound,Athletico,16,11,Dust2
Team1,Grayhound,Breakaway,16,7,Overpass
Team1,Grayhound,Chiefs,16,11,Dust2
Team1,Grayhound,Chiefs,16,11,Inferno
Team1,Grayhound,Chiefs,16,11,Mirage
Team1,Grayhound,Chiefs,16,12,Nuke
Team1,Grayhound,Chiefs,16,6,Overpass
Team1,Grayhound,Chiefs,16,8,Overpass
Team1,Grayhound,Chiefs,19,16,Dust2
Team1,Grayhound,Chiefs,19,17,Dust2
Team1,Grayhound,Complexity,16,11,Dust2
Team1,Grayhound,CyberZen,16,12,Mirage
Team1,Grayhound,Evil Geniuses,16,10,Nuke
Team1,Grayhound,Genuine,14,16,Overpass
Team1,Grayhound,Genuine,16,1,Dust2
Team1,Grayhound,Genuine,16,10,Inferno
Team1,Grayhound,Genuine,16,12,Inferno
Team1,Grayhound,Genuine,16,5,Overpass
Team1,Grayhound,Genuine,16,6,Mirage
Team1,Grayhound,Ground Zero,16,10,Nuke
Team1,Grayhound,Ground Zero,16,13,Inferno
Team1,Grayhound,Ground Zero,16,6,Nuke
Team1,Grayhound,Ground Zero,16,8,Overpass
Team1,Grayhound,INTZ,14,16,Nuke
Team1,Grayhound,Jade,16,1,Inferno
Team1,Grayhound,Jade,16,11,Cache
Team1,Grayhound,Jade,16,12,Dust2
Team1,Grayhound,Jade,16,4,Inferno
Team1,Grayhound,LaZe,16,2,Nuke
Team1,Grayhound,Liquid,16,10,Nuke
Team1,Grayhound,Liquid,16,13,Mirage
Team1,Grayhound,MVP PK,16,10,Mirage
Team1,Grayhound,MVP PK,16,8,Dust2
Team1,Grayhound,MVP PK,9,16,Nuke
Team1,Grayhound,ORDER,16,7,Dust2
Team1,Grayhound,ORDER,22,19,Overpass
Team1,Grayhound,ORDER,22,20,Nuke
Team1,Grayhound,ORDER,9,16,Mirage
Team1,Grayhound,Paradox,16,12,Inferno
Team1,Grayhound,Renegades,11,16,Mirage
Team1,Grayhound,TYLOO,16,14,Inferno
Team1,Grayhound,TYLOO,6,16,Dust2
Team1,Grayhound,ViCi,16,13,Dust2
Team1,Grayhound,Vitality,10,16,Inferno
Team1,Grayhound,fnatic,11,16,Overpass
Team1,Grayhound,fnatic,9,16,Inferno
Team1,Grayhound,forZe,9,16,Train
Team1,Grayhound,mousesports,2,16,Dust2
Team2,Grayhound,AVANT,10,16,Nuke
Team2,Grayhound,AVANT,16,5,Inferno
Team2,Grayhound,AVANT,16,5,Overpass
Team2,Grayhound,AVANT,16,7,Overpass
Team2,Grayhound,Alpha Red,11,16,Mirage
Team2,Grayhound,Athletico,14,16,Mirage
Team2,Grayhound,Athletico,16,7,Overpass
Team2,Grayhound,Bizarre,16,2,Overpass
Team2,Grayhound,Breakaway,13,16,Mirage
Team2,Grayhound,Breakaway,16,8,Inferno
Team2,Grayhound,Buckets,16,9,Vertigo
Team2,Grayhound,CR4ZY,13,16,Nuke
Team2,Grayhound,Chiefs,16,4,Inferno
Team2,Grayhound,Chiefs,16,4,Nuke
Team2,Grayhound,Chiefs,16,7,Dust2
Team2,Grayhound,Chiefs,16,8,Dust2
Team2,Grayhound,Cloud9,11,16,Mirage
Team2,Grayhound,Complexity,16,4,Inferno
Team2,Grayhound,Content,16,4,Nuke
Team2,Grayhound,DINQ,16,4,Inferno
Team2,Grayhound,Downfall,16,7,Nuke
Team2,Grayhound,Genuine,16,4,Nuke
Team2,Grayhound,Genuine,16,4,Train
Team2,Grayhound,Genuine,16,6,Train
Team2,Grayhound,Genuine,16,8,Mirage
Team2,Grayhound,Global,16,9,Inferno
Team2,Grayhound,Ground Zero,16,4,Inferno
Team2,Grayhound,Ground Zero,16,4,Overpass
Team2,Grayhound,INTZ,16,5,Train
Team2,Grayhound,Jade,16,9,Overpass
Team2,Grayhound,Justice,16,8,Dust2
Team2,Grayhound,LaZe,14,16,Mirage
Team2,Grayhound,MVP PK,16,4,Dust2
Team2,Grayhound,MVP PK,16,8,Cache
Team2,Grayhound,ORDER,10,16,Nuke
Team2,Grayhound,ORDER,16,4,Inferno
Team2,Grayhound,ORDER,16,7,Train
Team2,Grayhound,PC419,16,8,Overpass
Team2,Grayhound,Paradox,15,19,Mirage
Team2,Grayhound,Paradox,16,4,Inferno
Team2,Grayhound,Paradox,16,6,Inferno
Team2,Grayhound,Recursive,16,4,Train
Team2,Grayhound,Renegades,16,6,Inferno
Team2,Grayhound,Rooster,16,5,Cache
Team2,Grayhound,SYF,16,4,Train
Team2,Grayhound,Skyfire,16,4,Mirage
Team2,Grayhound,Vitality,17,19,Nuke
Team2,Grayhound,ZOOWEEMAMA,16,6,Dust2
Team2,Grayhound,ex-Athletico,16,9,Dust2
Team2,Grayhound,fnatic,11,16,Dust2
Team2,Grayhound,fnatic,12,16,Inferno
Team2,Grayhound,fnatic,13,16,Train
Team2,Grayhound,rewound,16,6,Mirage
