Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Ground Zero,AVANT,14,16,Cache
Team1,Ground Zero,AVANT,16,14,Overpass
Team1,Ground Zero,Airborne,11,16,Mirage
Team1,Ground Zero,Airborne,16,1,Nuke
Team1,Ground Zero,Airborne,16,10,Mirage
Team1,Ground Zero,Airborne,16,10,Nuke
Team1,Ground Zero,Airborne,16,12,Vertigo
Team1,Ground Zero,BOOT,9,16,Dust2
Team1,Ground Zero,Bizarre,16,1,Inferno
Team1,Ground Zero,Breakaway,16,14,Overpass
Team1,Ground Zero,Breakaway,8,16,Nuke
Team1,Ground Zero,Buckets,16,10,Mirage
Team1,Ground Zero,Chiefs,16,11,Nuke
Team1,Ground Zero,Chiefs,3,16,Dust2
Team1,Ground Zero,Chiefs,5,16,Nuke
Team1,Ground Zero,Chiefs,5,16,Vertigo
Team1,Ground Zero,Chiefs,8,16,Dust2
Team1,Ground Zero,Chiefs,8,16,Nuke
Team1,Ground Zero,Chiefs,9,16,Inferno
Team1,Ground Zero,Converge,16,12,Inferno
Team1,Ground Zero,Converge,16,12,Mirage
Team1,Ground Zero,ENZO,16,10,Mirage
Team1,Ground Zero,ENZO,16,5,Overpass
Team1,Ground Zero,Eimi Fukada FC,16,11,Mirage
Team1,Ground Zero,Eimi Fukada FC,16,13,Inferno
Team1,Ground Zero,Fanta,16,10,Dust2
Team1,Ground Zero,Genuine,14,16,Mirage
Team1,Ground Zero,Genuine,16,10,Nuke
Team1,Ground Zero,Genuine,16,14,Inferno
Team1,Ground Zero,Genuine,6,16,Overpass
Team1,Ground Zero,Genuine,6,16,Train
Team1,Ground Zero,Genuine,9,16,Nuke
Team1,Ground Zero,Grayhound,16,11,Inferno
Team1,Ground Zero,Grayhound,4,16,Mirage
Team1,Ground Zero,Heartless,8,16,Nuke
Team1,Ground Zero,Jade,16,9,Overpass
Team1,Ground Zero,MC,9,16,Overpass
Team1,Ground Zero,ORDER,16,14,Mirage
Team1,Ground Zero,PC419,16,13,Inferno
Team1,Ground Zero,PC419,16,14,Nuke
Team1,Ground Zero,Paradox,16,12,Mirage
Team1,Ground Zero,Paradox,16,14,Mirage
Team1,Ground Zero,Paradox,16,8,Mirage
Team1,Ground Zero,Paradox,16,9,Mirage
Team1,Ground Zero,Paradox,17,19,Nuke
Team1,Ground Zero,Paradox,19,15,Inferno
Team1,Ground Zero,Paradox,22,20,Dust2
Team1,Ground Zero,Paradox,4,16,Train
Team1,Ground Zero,Paradox,9,16,Mirage
Team1,Ground Zero,R!OT,19,17,Cache
Team1,Ground Zero,Rooster,11,16,Dust2
Team1,Ground Zero,Rooster,13,16,Inferno
Team1,Ground Zero,Rooster,16,10,Inferno
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,13,Vertigo
Team1,Ground Zero,Rooster,16,14,Dust2
Team1,Ground Zero,Rooster,16,14,Mirage
Team1,Ground Zero,Rooster,16,14,Vertigo
Team1,Ground Zero,Rooster,6,16,Inferno
Team1,Ground Zero,Rooster,6,16,Inferno
Team1,Ground Zero,SYF,16,13,Dust2
Team1,Ground Zero,SYF,16,14,Train
Team1,Ground Zero,SYF,16,9,Inferno
Team1,Ground Zero,Surge,16,14,Cache
Team1,Ground Zero,TRIDENT,16,8,Mirage
Team1,Ground Zero,Tainted Minds,5,16,Mirage
Team1,Ground Zero,catman,16,12,Mirage
Team1,Ground Zero,catman,16,7,Nuke
Team1,Ground Zero,catman,9,16,Mirage
Team1,Ground Zero,esea open,19,17,Nuke
Team1,Ground Zero,ex-Athletico,16,13,Nuke
Team1,Ground Zero,ex-Genuine,16,11,Overpass
Team1,Ground Zero,rewound,16,13,Nuke
Team2,Ground Zero,AVANT,11,16,Nuke
Team2,Ground Zero,AVANT,12,16,Inferno
Team2,Ground Zero,Airborne,10,16,Overpass
Team2,Ground Zero,Airborne,12,16,Dust2
