Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,HAVU,1WIN,16,1,Dust2
Team1,HAVU,3DMAX,10,16,Dust2
Team1,HAVU,3DMAX,16,10,Mirage
Team1,HAVU,AGO,10,16,Dust2
Team1,HAVU,AGO,11,16,Mirage
Team1,HAVU,AGO,16,12,Inferno
Team1,HAVU,AGO,16,12,Inferno
Team1,HAVU,AGO,16,14,Dust2
Team1,HAVU,AGO,16,3,Nuke
Team1,HAVU,AGO,19,17,Dust2
Team1,HAVU,AGO,22,19,Dust2
Team1,HAVU,AGO,3,16,Vertigo
Team1,HAVU,AGO,8,16,Train
Team1,HAVU,ALTERNATE aTTaX,16,9,Train
Team1,HAVU,ALTERNATE aTTaX,28,25,Mirage
Team1,HAVU,ALTERNATE aTTaX,4,16,Cache
Team1,HAVU,ATMOS,14,16,Nuke
Team1,HAVU,ATMOS,19,15,Inferno
Team1,HAVU,AUGUST,16,4,Train
Team1,HAVU,AUGUST,7,16,Inferno
Team1,HAVU,Ambush,16,19,Train
Team1,HAVU,Ancient,16,11,Nuke
Team1,HAVU,Ancient,16,12,Dust2
Team1,HAVU,Bpro,16,4,Dust2
Team1,HAVU,CR4ZY,16,11,Mirage
Team1,HAVU,CR4ZY,16,5,Train
Team1,HAVU,CR4ZY,9,16,Nuke
Team1,HAVU,Chaos,16,8,Train
Team1,HAVU,Chaos,16,8,Train
Team1,HAVU,Cloud9,16,5,Mirage
Team1,HAVU,Cloud9,19,15,Vertigo
Team1,HAVU,Codewise Unicorns,14,16,Train
Team1,HAVU,Copenhagen Flames,16,11,Train
Team1,HAVU,Copenhagen Flames,16,14,Nuke
Team1,HAVU,Copenhagen Flames,16,14,Train
Team1,HAVU,Copenhagen Flames,19,17,Train
Team1,HAVU,Copenhagen Flames,2,16,Overpass
Team1,HAVU,Copenhagen Flames,6,16,Inferno
Team1,HAVU,Copenhagen Flames,9,16,Train
Team1,HAVU,DreamEaters,16,10,Dust2
Team1,HAVU,DreamEaters,16,13,Inferno
Team1,HAVU,DreamEaters,16,13,Overpass
Team1,HAVU,DreamEaters,16,9,Inferno
Team1,HAVU,Endpoint,7,16,Dust2
Team1,HAVU,Envy,16,6,Dust2
Team1,HAVU,Epsilon,16,11,Train
Team1,HAVU,Epsilon,8,16,Mirage
Team1,HAVU,Espada,19,16,Nuke
Team1,HAVU,Fierce,16,10,Overpass
Team1,HAVU,Fierce,16,8,Dust2
Team1,HAVU,GODSENT,8,16,Train
Team1,HAVU,GODSENT,9,16,Inferno
Team1,HAVU,Gambit Youngsters,25,21,Dust2
Team1,HAVU,Gambit Youngsters,4,16,Train
Team1,HAVU,GamerLegion,13,16,Overpass
Team1,HAVU,GamerLegion,16,10,Nuke
Team1,HAVU,GamerLegion,16,12,Dust2
Team1,HAVU,GamerLegion,19,16,Dust2
Team1,HAVU,Gen.G,16,7,Dust2
Team1,HAVU,Giants,16,11,Dust2
Team1,HAVU,Heretics,16,13,Inferno
Team1,HAVU,Illuminar,16,8,Train
Team1,HAVU,Illuminar,9,16,Overpass
Team1,HAVU,Izako Boars,16,13,Inferno
Team1,HAVU,Izako Boars,19,16,Dust2
Team1,HAVU,Japaleno,16,11,Overpass
Team1,HAVU,Japaleno,16,7,Train
Team1,HAVU,KOVA,13,16,Train
Team1,HAVU,KOVA,16,10,Dust2
Team1,HAVU,KOVA,16,6,Dust2
Team1,HAVU,MAD Lions,16,10,Train
Team1,HAVU,MAD Lions,5,16,Mirage
Team1,HAVU,MAD Lions,8,16,Train
Team1,HAVU,MIBR,17,19,Dust2
Team1,HAVU,Movistar Riders,16,12,Train
Team1,HAVU,Movistar Riders,16,14,Overpass
Team1,HAVU,Movistar Riders,19,15,Train
Team1,HAVU,NAVI Junior,19,15,Mirage
Team1,HAVU,Nemiga,12,16,Nuke
Team1,HAVU,Nemiga,16,10,Dust2
Team1,HAVU,Nemiga,16,11,Mirage
Team1,HAVU,Nemiga,16,11,Nuke
Team1,HAVU,Nordavind,16,10,Dust2
Team1,HAVU,Nordavind,16,7,Nuke
Team1,HAVU,PACT,16,13,Train
Team1,HAVU,Phoenix,16,14,Train
Team1,HAVU,Phoenix,16,9,Dust2
Team1,HAVU,Phoenix,6,16,Inferno
Team1,HAVU,Riot Squad,16,14,Train
Team1,HAVU,SJ,14,16,Dust2
Team1,HAVU,SJ,14,16,Inferno
Team1,HAVU,SJ,16,10,Dust2
Team1,HAVU,SJ,16,11,Dust2
Team1,HAVU,SJ,16,12,Dust2
Team1,HAVU,SJ,16,12,Nuke
Team1,HAVU,SJ,16,13,Inferno
Team1,HAVU,SJ,16,4,Dust2
Team1,HAVU,SKADE,16,10,Nuke
Team1,HAVU,SKADE,16,7,Overpass
Team1,HAVU,SKADE,8,16,Inferno
Team1,HAVU,SKADE,8,16,Train
Team1,HAVU,SMASH,16,6,Dust2
Team1,HAVU,SMASH,2,16,Overpass
Team1,HAVU,SMASH,7,16,Nuke
Team1,HAVU,Sharks,16,13,Nuke
Team1,HAVU,Sharks,16,14,Train
