Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,HellRaisers,AGO,7,16,Dust2
Team1,HellRaisers,AVANGAR,8,16,Dust2
Team1,HellRaisers,AVEZ,10,16,Inferno
Team1,HellRaisers,Aristocracy,16,10,Vertigo
Team1,HellRaisers,Aristocracy,16,13,Overpass
Team1,HellRaisers,Axis,16,10,Mirage
Team1,HellRaisers,Axis,16,11,Overpass
Team1,HellRaisers,BIG,4,16,Cache
Team1,HellRaisers,Chaos,11,16,Train
Team1,HellRaisers,Chaos,16,13,Mirage
Team1,HellRaisers,Cyber Legacy,16,11,Inferno
Team1,HellRaisers,Demolition Crew,16,12,Mirage
Team1,HellRaisers,Dracarys,22,19,Inferno
Team1,HellRaisers,FaZe,4,16,Train
Team1,HellRaisers,G2,6,16,Dust2
Team1,HellRaisers,GamerLegion,16,13,Overpass
Team1,HellRaisers,HAVU,9,16,Dust2
Team1,HellRaisers,Heroic,16,11,Overpass
Team1,HellRaisers,Heroic,4,16,Overpass
Team1,HellRaisers,Heroic,9,16,Inferno
Team1,HellRaisers,Japaleno,16,19,Dust2
Team1,HellRaisers,Japaleno,9,16,Dust2
Team1,HellRaisers,Kryvbas,16,12,Train
Team1,HellRaisers,Liquid,16,14,Inferno
Team1,HellRaisers,Lucid Dream,16,10,Nuke
Team1,HellRaisers,Nemiga,16,11,Inferno
Team1,HellRaisers,Nemiga,16,13,Inferno
Team1,HellRaisers,Nemiga,16,7,Overpass
Team1,HellRaisers,OpTic,16,11,Inferno
Team1,HellRaisers,OpTic,16,7,Mirage
Team1,HellRaisers,OpTic,16,7,Overpass
Team1,HellRaisers,OpTic,8,16,Mirage
Team1,HellRaisers,PACT,16,14,Train
Team1,HellRaisers,Pompa,16,19,Mirage
Team1,HellRaisers,SJ,11,16,Inferno
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,12,16,Dust2
Team1,HellRaisers,SKADE,16,11,Inferno
Team1,HellRaisers,SMASH,10,16,Vertigo
Team1,HellRaisers,SMASH,5,16,Dust2
Team1,HellRaisers,Singularity,16,12,Dust2
Team1,HellRaisers,SpeedRunners,16,8,Inferno
Team1,HellRaisers,Sprout,9,16,Dust2
Team1,HellRaisers,Syman,10,16,Nuke
Team1,HellRaisers,Syman,7,16,Mirage
Team1,HellRaisers,Syman,9,16,Inferno
Team1,HellRaisers,Unique,16,4,Mirage
Team1,HellRaisers,Valiance,16,11,Inferno
Team1,HellRaisers,Valiance,9,16,Nuke
Team1,HellRaisers,Vega Squadron,16,13,Mirage
Team1,HellRaisers,Vega Squadron,16,14,Train
Team1,HellRaisers,Vega Squadron,16,8,Train
Team1,HellRaisers,Windigo,16,11,Inferno
Team1,HellRaisers,Windigo,16,14,Train
Team1,HellRaisers,Windigo,8,16,Mirage
Team1,HellRaisers,Wisla Krakow,16,12,Dust2
Team1,HellRaisers,Yalla,16,14,Mirage
Team1,HellRaisers,Yalla,16,2,Nuke
Team1,HellRaisers,ex-3DMAX,16,10,Mirage
Team1,HellRaisers,ex-3DMAX,16,10,Nuke
Team1,HellRaisers,ex-3DMAX,16,6,Train
Team1,HellRaisers,ex-3DMAX,9,16,Nuke
Team1,HellRaisers,fnatic,19,15,Overpass
Team1,HellRaisers,fnatic,7,16,Mirage
Team1,HellRaisers,forZe,16,11,Overpass
Team1,HellRaisers,forZe,5,16,Nuke
Team1,HellRaisers,forZe,8,16,Inferno
Team1,HellRaisers,m1x,8,16,Train
Team2,HellRaisers,BIG,11,16,Inferno
Team2,HellRaisers,BIG,16,8,Overpass
Team2,HellRaisers,G2,10,16,Dust2
Team2,HellRaisers,G2,13,16,Vertigo
Team2,HellRaisers,G2,16,8,Inferno
Team2,HellRaisers,GamerLegion,20,22,Inferno
Team2,HellRaisers,Liquid,11,16,Vertigo
Team2,HellRaisers,Liquid,14,16,Overpass
Team2,HellRaisers,Lucid Dream,16,2,Vertigo
