Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Hysteria,Final Feature,11,16,Inferno
Team1,Hysteria,Final Feature,14,16,Mirage
Team1,Hysteria,Infamous,3,16,Mirage
Team1,Hysteria,Mythic,19,17,Overpass
Team1,Hysteria,Mythic,8,16,Inferno
Team1,Hysteria,Mythic,9,16,Dust2
Team1,Hysteria,Orion,16,11,Overpass
Team1,Hysteria,eUnited,9,16,Mirage
Team2,Hysteria,Final Feature,12,16,Cache
Team2,Hysteria,Final Feature,13,16,Overpass
Team2,Hysteria,Final Feature,16,9,Cache
Team2,Hysteria,Infamous,16,4,Nuke
Team2,Hysteria,Mountain Dew,16,4,Mirage
Team2,Hysteria,Orion,10,16,Inferno
Team2,Hysteria,Orion,16,5,Mirage
Team2,Hysteria,Prospects,14,16,Mirage
