Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,INTZ.Academy,Evidence,9,16,Inferno
Team1,INTZ.Academy,Imperial,16,14,Inferno
Team1,INTZ.Academy,Isurus,5,16,Overpass
Team1,INTZ.Academy,RED Canids,16,9,Dust2
Team1,INTZ.Academy,RED Canids,6,16,Train
Team1,INTZ.Academy,Redemption POA,8,16,Overpass
Team1,INTZ.Academy,W7M,4,16,Inferno
Team1,INTZ.Academy,ex-Wild,16,11,Cache
Team1,INTZ.Academy,ex-Wild,8,16,Dust2
Team1,INTZ.Academy,paiN,16,14,Cache
Team1,INTZ.Academy,paiN,2,16,Nuke
Team2,INTZ.Academy,DETONA,13,16,Inferno
Team2,INTZ.Academy,DETONA,13,16,Mirage
Team2,INTZ.Academy,W7M,16,8,Cache
Team2,INTZ.Academy,paiN,11,16,Dust2
