Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,IPET,5POWER,9,16,Mirage
Team1,IPET,8EASY,16,3,Inferno
Team1,IPET,BTRG,9,16,Mirage
Team1,IPET,Entry,16,0,Overpass
Team1,IPET,Panda,16,11,Mirage
Team1,IPET,Panda,5,16,Mirage
Team1,IPET,Vital Spark,16,7,Mirage
Team1,IPET,wNv,16,10,Mirage
Team2,IPET,8EASY,13,16,Mirage
Team2,IPET,BTRG,16,19,Dust2
Team2,IPET,Entry,16,2,Mirage
Team2,IPET,Rstar,16,4,Inferno
Team2,IPET,Rstar,16,6,Mirage
Team2,IPET,Vital Spark,12,16,Dust2
Team2,IPET,Vital Spark,16,3,Inferno
Team2,IPET,wNv,16,9,Inferno
