Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Infamous,Bad News Bears,6,16,Inferno
Team1,Infamous,Cyclone,16,11,Mirage
Team1,Infamous,Cyclone,16,14,Train
Team1,Infamous,Denial,16,11,Mirage
Team1,Infamous,Denial,5,16,Inferno
Team1,Infamous,Denial,8,16,Nuke
Team1,Infamous,EGOBOYZ,22,18,Mirage
Team1,Infamous,EGOBOYZ,9,16,Inferno
Team1,Infamous,FURIA,7,16,Train
Team1,Infamous,Final Feature,8,16,Overpass
Team1,Infamous,Hentai Heroes,16,10,Overpass
Team1,Infamous,Hysteria,16,7,Overpass
Team1,Infamous,Loto,16,10,Inferno
Team1,Infamous,MASSIVEimpact,4,16,Mirage
Team1,Infamous,Supremacy,10,16,Mirage
Team1,Infamous,Supremacy,7,16,Mirage
Team1,Infamous,Supremacy,7,16,Train
Team1,Infamous,Supremacy,8,16,Nuke
Team2,Infamous,Bad News Bears,32,34,Mirage
Team2,Infamous,Cyclone,13,16,Inferno
Team2,Infamous,EGOBOYZ,16,8,Overpass
Team2,Infamous,Forty Six and 2,16,6,Train
Team2,Infamous,Fragging for Andy,12,16,Cache
Team2,Infamous,Hentai Heroes,16,2,Mirage
Team2,Infamous,Loto,16,8,Mirage
Team2,Infamous,Luminosity,10,16,Inferno
Team2,Infamous,MASSIVEimpact,14,16,Inferno
Team2,Infamous,MASSIVEimpact,16,7,Nuke
Team2,Infamous,Spacestation,16,8,Train
Team2,Infamous,Supremacy,12,16,Inferno
Team2,Infamous,TeamOne,11,16,Train
Team2,Infamous,Tecsysnet,16,3,Inferno
Team2,Infamous,iNTACT,17,19,Mirage
