Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Infinity,Bad News Bears,5,16,Overpass
Team1,Infinity,Chaos,8,16,Dust2
Team1,Infinity,Denial,10,16,Mirage
Team1,Infinity,Denial,16,12,Inferno
Team1,Infinity,Denial,16,14,Train
Team1,Infinity,Denial,7,16,Inferno
Team1,Infinity,Divine,6,16,Dust2
Team1,Infinity,Hadouken,16,1,Mirage
Team1,Infinity,In The Lab,16,13,Mirage
Team1,Infinity,Jaguar,12,16,Inferno
Team1,Infinity,NONAME,16,11,Mirage
Team1,Infinity,NONAME,16,13,Train
Team1,Infinity,Novacancy,16,1,Mirage
Team1,Infinity,Novacancy,19,15,Train
Team1,Infinity,Rugratz,4,16,Overpass
Team1,Infinity,Serac,16,12,Overpass
Team1,Infinity,Sharks,13,16,Overpass
Team1,Infinity,Sharks,5,16,Nuke
Team1,Infinity,Supremacy,16,10,Mirage
Team1,Infinity,Supremacy,16,12,Mirage
Team1,Infinity,Swole Identity,5,16,Train
Team1,Infinity,Under 21,9,16,Dust2
Team1,Infinity,Ze Pug Godz,16,10,Inferno
Team2,Infinity,Big Frames,10,16,Mirage
Team2,Infinity,Black Label Society,16,4,Inferno
Team2,Infinity,Brazen,14,16,Dust2
Team2,Infinity,DStreet,16,3,Inferno
Team2,Infinity,Denial,16,4,Train
Team2,Infinity,Envy,10,16,Train
Team2,Infinity,Hadouken,16,8,Inferno
Team2,Infinity,INTZ,12,16,Overpass
Team2,Infinity,Isurus,13,16,Mirage
Team2,Infinity,Isurus,17,19,Inferno
Team2,Infinity,Jaguar,16,8,Dust2
Team2,Infinity,Monstars,16,5,Dust2
Team2,Infinity,Monstars,16,7,Dust2
Team2,Infinity,NONAME,16,4,Mirage
Team2,Infinity,NONAME,16,9,Inferno
Team2,Infinity,Recon 5,19,22,Inferno
Team2,Infinity,Serac,11,16,Nuke
Team2,Infinity,Serac,16,6,Inferno
Team2,Infinity,Supremacy,13,16,Inferno
Team2,Infinity,Supremacy,13,16,Train
Team2,Infinity,Supremacy,16,3,Inferno
Team2,Infinity,Supremacy,16,4,Train
Team2,Infinity,Swedish Canadians,16,19,Overpass
Team2,Infinity,Warriors International,25,28,Dust2
