Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Invictus,5POWER,16,4,Mirage
Team1,Invictus,5POWER,6,16,Train
Team1,Invictus,5POWER,7,16,Dust2
Team1,Invictus,5POWER,9,16,Dust2
Team1,Invictus,AUGUST,16,14,Nuke
Team1,Invictus,AUGUST,19,15,Train
Team1,Invictus,BOOT,16,8,Mirage
Team1,Invictus,BTRG,16,13,Train
Team1,Invictus,Bren,16,13,Train
Team1,Invictus,Bren,19,16,Mirage
Team1,Invictus,EHOME,16,13,Train
Team1,Invictus,EHOME,9,16,Train
Team1,Invictus,JiJieHao,16,12,Mirage
Team1,Invictus,JiJieHao,16,12,Overpass
Team1,Invictus,JiJieHao,16,13,Train
Team1,Invictus,Juggernauts,11,16,Train
Team1,Invictus,Lucid Dream,11,16,Dust2
Team1,Invictus,Lucid Dream,14,16,Mirage
Team1,Invictus,Lynn Vision,14,16,Inferno
Team1,Invictus,Lynn Vision,16,10,Nuke
Team1,Invictus,Lynn Vision,16,13,Vertigo
Team1,Invictus,Lynn Vision,5,16,Dust2
Team1,Invictus,MiTH.Maple,12,16,Mirage
Team1,Invictus,MiTH.Maple,16,9,Train
Team1,Invictus,NAVI Junior,16,13,Inferno
Team1,Invictus,NAVI Junior,16,14,Mirage
Team1,Invictus,OneThree,12,16,Nuke
Team1,Invictus,OneThree,16,12,Train
Team1,Invictus,OneThree,16,14,Mirage
Team1,Invictus,OneThree,2,16,Inferno
Team1,Invictus,OneThree,6,16,Overpass
Team1,Invictus,R-Stars,16,12,Dust2
Team1,Invictus,R-Stars,4,16,Train
Team1,Invictus,TYLOO,16,10,Overpass
Team1,Invictus,TYLOO,16,13,Mirage
Team1,Invictus,TYLOO,16,19,Train
Team1,Invictus,TYLOO,18,22,Train
Team1,Invictus,TYLOO,7,16,Dust2
Team1,Invictus,TYLOO,8,16,Dust2
Team1,Invictus,TYLOO,9,16,Dust2
Team1,Invictus,Thirteen,16,6,Train
Team1,Invictus,ViCi,16,12,Mirage
Team1,Invictus,ViCi,6,16,Overpass
Team1,Invictus,ViCi,8,16,Vertigo
Team1,Invictus,Vitality,3,16,Mirage
Team1,Invictus,Vitality,3,16,Nuke
Team1,Invictus,ZIGMA,11,16,Train
Team1,Invictus,ZIGMA,12,16,Inferno
Team1,Invictus,ZIGMA,9,16,Inferno
Team1,Invictus,ZIGMA,9,16,Mirage
Team2,Invictus,5POWER,12,16,Dust2
Team2,Invictus,BOOT,16,9,Vertigo
Team2,Invictus,BTRG,16,4,Dust2
Team2,Invictus,BTRG,16,5,Mirage
Team2,Invictus,BTRG,16,8,Train
Team2,Invictus,Bren,16,8,Mirage
Team2,Invictus,EHOME,14,16,Nuke
Team2,Invictus,EHOME,16,5,Train
Team2,Invictus,EHOME,16,6,Nuke
Team2,Invictus,EHOME,16,9,Overpass
Team2,Invictus,JiJieHao,21,25,Mirage
Team2,Invictus,Lucid Dream,16,2,Nuke
Team2,Invictus,Lynn Vision,10,16,Dust2
Team2,Invictus,Macau Legend,16,9,Mirage
Team2,Invictus,MiTH.Maple,12,16,Overpass
Team2,Invictus,MiTH.Maple,16,4,Overpass
Team2,Invictus,Nemiga,12,16,Nuke
Team2,Invictus,Nemiga,14,16,Mirage
Team2,Invictus,OneThree,11,16,Train
Team2,Invictus,R-Stars,12,16,Mirage
Team2,Invictus,R-Stars,14,16,Train
Team2,Invictus,TIGER,14,16,Train
Team2,Invictus,TYLOO,14,16,Mirage
Team2,Invictus,Thirteen,13,16,Vertigo
Team2,Invictus,ZIGMA,16,8,Mirage
