Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Isurus,2anosOLD,16,14,Inferno
Team1,Isurus,9z,16,0,Dust2
Team1,Isurus,9z,16,2,Overpass
Team1,Isurus,9z,16,9,Mirage
Team1,Isurus,9z,22,19,Overpass
Team1,Isurus,Bravos,7,16,Nuke
Team1,Isurus,Bulldozer,22,20,Dust2
Team1,Isurus,Complexity,19,16,Train
Team1,Isurus,DETONA,13,16,Train
Team1,Isurus,DETONA,16,11,Nuke
Team1,Isurus,DETONA,16,11,Train
Team1,Isurus,DETONA,16,12,Dust2
Team1,Isurus,DETONA,16,12,Mirage
Team1,Isurus,DETONA,16,14,Train
Team1,Isurus,DETONA,16,9,Nuke
Team1,Isurus,DETONA,8,16,Inferno
Team1,Isurus,DETONA,9,16,Inferno
Team1,Isurus,Denial,16,2,Overpass
Team1,Isurus,EOX,16,14,Train
Team1,Isurus,Falkol,16,10,Mirage
Team1,Isurus,Falkol,16,11,Overpass
Team1,Isurus,Furious,3,16,Nuke
Team1,Isurus,INTZ.Academy,16,12,Mirage
Team1,Isurus,INTZ.Academy,8,16,Dust2
Team1,Isurus,INTZ.Academy,8,16,Dust2
Team1,Isurus,Imperial,16,10,Dust2
Team1,Isurus,Imperial,16,10,Dust2
Team1,Isurus,Imperial,16,12,Overpass
Team1,Isurus,Imperial,16,13,Nuke
Team1,Isurus,Imperial,16,6,Overpass
Team1,Isurus,Imperial,6,16,Train
Team1,Isurus,Infinity,16,7,Dust2
Team1,Isurus,NOORG,16,13,Inferno
Team1,Isurus,Neverest,16,13,Inferno
Team1,Isurus,Neverest,22,19,Nuke
Team1,Isurus,RED Canids,10,16,Dust2
Team1,Isurus,RED Canids,16,13,Nuke
Team1,Isurus,RED Canids,16,14,Dust2
Team1,Isurus,RED Canids,16,14,Nuke
Team1,Isurus,RED Canids,16,5,Dust2
Team1,Isurus,RED Canids,16,8,Overpass
Team1,Isurus,RED Canids,19,15,Nuke
Team1,Isurus,Reapers,16,1,Inferno
Team1,Isurus,Redemption POA,16,14,Inferno
Team1,Isurus,Renegades,16,13,Dust2
Team1,Isurus,Renegades,4,16,Dust2
Team1,Isurus,Renegades,4,16,Mirage
Team1,Isurus,Renegades,5,16,Inferno
Team1,Isurus,Renegades,9,16,Mirage
Team1,Isurus,Sharks,13,16,Inferno
Team1,Isurus,Sharks,16,11,Train
Team1,Isurus,Sharks,16,12,Dust2
Team1,Isurus,Sharks,9,16,Dust2
Team1,Isurus,Soberano,16,5,Inferno
Team1,Isurus,TRZ,16,11,Overpass
Team1,Isurus,W7M,10,16,Mirage
Team1,Isurus,W7M,16,11,Overpass
Team1,Isurus,W7M,16,11,Overpass
Team1,Isurus,W7M,19,17,Dust2
Team1,Isurus,W7M,23,25,Nuke
Team1,Isurus,W7M,8,16,Mirage
Team1,Isurus,W7M,8,16,Nuke
Team1,Isurus,WePlayGames,16,10,Overpass
Team1,Isurus,WePlayGames,16,10,Train
Team1,Isurus,paiN,16,11,Inferno
Team1,Isurus,paiN,16,12,Overpass
Team1,Isurus,paiN,16,14,Inferno
Team1,Isurus,paiN,16,14,Overpass
Team1,Isurus,paiN,16,4,Overpass
Team1,Isurus,paiN,4,16,Inferno
Team1,Isurus,paiN,4,16,Overpass
Team2,Isurus,Bravos,16,2,Train
Team2,Isurus,Bulldozer,16,8,Inferno
Team2,Isurus,Complexity,11,16,Nuke
Team2,Isurus,DETONA,14,16,Dust2
Team2,Isurus,DETONA,14,16,Mirage
Team2,Isurus,Denial,16,8,Inferno
Team2,Isurus,Evidence,16,6,Inferno
Team2,Isurus,Furious,16,7,Inferno
Team2,Isurus,INTZ.Academy,13,16,Overpass
Team2,Isurus,Imperial,14,16,Train
Team2,Isurus,Infinity,16,9,Mirage
Team2,Isurus,MIBR,10,16,Dust2
Team2,Isurus,MIBR,14,16,Overpass
Team2,Isurus,NOORG,16,4,Overpass
Team2,Isurus,RED Canids,11,16,Dust2
Team2,Isurus,RED Canids,16,19,Train
Team2,Isurus,RED Canids,16,4,Inferno
Team2,Isurus,RED Canids,16,7,Nuke
Team2,Isurus,RED Canids,19,22,Mirage
Team2,Isurus,RUFUS,16,9,Overpass
Team2,Isurus,Redemption POA,12,16,Overpass
Team2,Isurus,Redemption POA,16,7,Dust2
Team2,Isurus,Sharks,10,16,Nuke
Team2,Isurus,Sharks,14,16,Mirage
Team2,Isurus,Sharks,16,2,Dust2
Team2,Isurus,Sharks,16,2,Train
Team2,Isurus,Sharks,16,4,Train
Team2,Isurus,Soberano,10,16,Dust2
Team2,Isurus,TRZ,16,2,Nuke
Team2,Isurus,W7M,10,16,Inferno
Team2,Isurus,W7M,12,16,Inferno
Team2,Isurus,W7M,12,16,Inferno
Team2,Isurus,W7M,12,16,Mirage
Team2,Isurus,paiN,13,16,Overpass
Team2,Isurus,paiN,14,16,Nuke
