Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,J Money Crew,Divine,10,16,Inferno
Team1,J Money Crew,Divine,7,16,Inferno
Team1,J Money Crew,Gorilla Gang,16,9,Nuke
Team1,J Money Crew,Monstars,16,12,Mirage
Team1,J Money Crew,Monstars,16,13,Nuke
Team1,J Money Crew,Monstars,19,17,Inferno
Team1,J Money Crew,New England Whalers,16,12,Mirage
Team1,J Money Crew,New Identity,16,13,Mirage
Team1,J Money Crew,New Identity,16,5,Nuke
Team1,J Money Crew,New Identity,9,16,Nuke
Team1,J Money Crew,Oceanus,16,11,Mirage
Team1,J Money Crew,Oceanus,16,14,Vertigo
Team1,J Money Crew,idc go next,16,6,Nuke
Team1,J Money Crew,nTice,16,6,Train
Team2,J Money Crew,Divine,16,5,Mirage
Team2,J Money Crew,Gorilla Gang,16,6,Mirage
Team2,J Money Crew,Monstars,14,16,Mirage
Team2,J Money Crew,New England Whalers,10,16,Nuke
Team2,J Money Crew,New Identity,16,9,Dust2
Team2,J Money Crew,idc go next,16,8,Inferno
Team2,J Money Crew,nTice,16,6,Inferno
