Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Jade,AVANT,10,16,Mirage
Team1,Jade,Athletico,16,11,Cache
Team1,Jade,Breakaway,7,16,Inferno
Team1,Jade,Dippers,16,14,Overpass
Team1,Jade,Genuine,16,14,Inferno
Team1,Jade,Grayhound,8,16,Dust2
Team1,Jade,Justice,16,12,Mirage
Team1,Jade,MC,7,16,Train
Team1,Jade,ORDER,2,16,Mirage
Team1,Jade,ORDER,6,16,Mirage
Team1,Jade,ORDER,7,16,Inferno
Team1,Jade,ORDER,8,16,Inferno
Team1,Jade,Paradox,16,13,Dust2
Team1,Jade,SYF,16,13,Dust2
Team1,Jade,Surge,8,16,Train
Team2,Jade,AVANT,10,16,Train
Team2,Jade,Athletico,16,6,Mirage
Team2,Jade,Bizarre,16,5,Overpass
Team2,Jade,Buckets,16,6,Inferno
Team2,Jade,Chiefs,14,16,Train
Team2,Jade,DINQ,16,9,Inferno
Team2,Jade,Genuine,14,16,Mirage
Team2,Jade,Paradox,16,4,Inferno
Team2,Jade,Recursive,14,16,Dust2
Team2,Jade,Rooster,16,9,Inferno
Team2,Jade,SYF,10,16,Mirage
Team2,Jade,Surge,16,4,Dust2
Team2,Jade,Surge,16,5,Mirage
Team2,Jade,ZOOWEEMAMA,16,8,Overpass
Team2,Jade,ex-Athletico,14,16,Dust2
Team2,Jade,madlikewizards,12,16,Inferno
Team2,Jade,madlikewizards,14,16,Mirage
