Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Japaleno,AGO,16,14,Inferno
Team1,Japaleno,AVANGAR,16,13,Dust2
Team1,Japaleno,BG-MIX,19,16,Dust2
Team1,Japaleno,Demise,19,17,Inferno
Team1,Japaleno,Demolition Crew,16,10,Dust2
Team1,Japaleno,FATE,16,10,Inferno
Team1,Japaleno,HAVU,7,16,Train
Team1,Japaleno,Hard Legion,16,13,Overpass
Team1,Japaleno,Hard Legion,16,14,Mirage
Team1,Japaleno,HellRaisers,16,13,Overpass
Team1,Japaleno,Heroic,16,10,Overpass
Team1,Japaleno,Nemiga,4,16,Vertigo
Team1,Japaleno,Nordavind,13,16,Inferno
Team1,Japaleno,Nordavind,16,10,Overpass
Team1,Japaleno,Nordavind,6,16,Mirage
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,Nordavind,7,16,Inferno
Team1,Japaleno,North,16,9,Overpass
Team1,Japaleno,North,8,16,Vertigo
Team1,Japaleno,Singularity,7,16,Overpass
Team1,Japaleno,Spirit,16,13,Dust2
Team1,Japaleno,Spirit,16,13,Overpass
Team1,Japaleno,Sprout,15,19,Inferno
Team1,Japaleno,Sprout,4,16,Train
Team1,Japaleno,Sprout,7,16,Mirage
Team1,Japaleno,Sprout,8,16,Mirage
Team1,Japaleno,Unicorns of Love,19,17,Inferno
Team1,Japaleno,Wisla Krakow,19,17,Dust2
Team1,Japaleno,ex-Epsilon,12,16,Dust2
Team1,Japaleno,forZe,19,17,Inferno
Team1,Japaleno,forZe,8,16,Inferno
Team2,Japaleno,AGO,13,16,Mirage
Team2,Japaleno,Apeks,16,5,Mirage
Team2,Japaleno,Apeks,16,8,Overpass
Team2,Japaleno,BIG,11,16,Inferno
Team2,Japaleno,FATE,14,16,Dust2
Team2,Japaleno,GamerLegion,14,16,Overpass
Team2,Japaleno,HellRaisers,10,16,Inferno
Team2,Japaleno,HellRaisers,13,16,Nuke
Team2,Japaleno,Illuminar,16,4,Overpass
Team2,Japaleno,Movistar Riders,14,16,Inferno
Team2,Japaleno,Movistar Riders,16,5,Inferno
Team2,Japaleno,Movistar Riders,16,5,Mirage
Team2,Japaleno,Nemiga,19,22,Overpass
Team2,Japaleno,Nemiga,20,22,Inferno
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,16,7,Mirage
Team2,Japaleno,Nordavind,22,25,Mirage
Team2,Japaleno,Se7en,10,16,Dust2
Team2,Japaleno,Se7en,11,16,Inferno
Team2,Japaleno,Spirit,14,16,Dust2
Team2,Japaleno,Tricked,20,22,Overpass
Team2,Japaleno,Virtus.pro,13,16,Inferno
Team2,Japaleno,ex-Epsilon,10,16,Train
