Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Just Swing,Big Frames,9,16,Overpass
Team1,Just Swing,Dogs of War,16,11,Mirage
Team1,Just Swing,Front,16,13,Overpass
Team1,Just Swing,Front,16,14,Dust2
Team1,Just Swing,Front,7,16,Nuke
Team1,Just Swing,LiViD,16,12,Overpass
Team1,Just Swing,Monstars,9,16,Overpass
Team1,Just Swing,Singularity,2,16,Overpass
Team1,Just Swing,absolute mad lads,11,16,Mirage
Team1,Just Swing,iNTACT,12,16,Mirage
Team2,Just Swing,Prospects,16,2,Inferno
Team2,Just Swing,Prospects,16,9,Dust2
Team2,Just Swing,Riot Squad,1,16,Dust2
Team2,Just Swing,TeamOne,11,16,Inferno
Team2,Just Swing,Thunder Logic,14,16,Train
Team2,Just Swing,absolute mad lads,16,9,Overpass
Team2,Just Swing,iNTACT,12,16,Inferno
