Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Keyd,Alma,8,16,Vertigo
Team1,Keyd,BTRG,9,16,Train
Team1,Keyd,Black Dragons,16,13,Mirage
Team1,Keyd,Black Dragons,19,15,Inferno
Team1,Keyd,Bravos,16,10,Overpass
Team1,Keyd,Bravos,6,16,Vertigo
Team1,Keyd,Bulldozer,16,12,Dust2
Team1,Keyd,DETONA,16,4,Vertigo
Team1,Keyd,DETONA,8,16,Inferno
Team1,Keyd,INTZ.Academy,16,6,Nuke
Team1,Keyd,Isurus,16,12,Nuke
Team1,Keyd,Isurus,16,12,Nuke
Team1,Keyd,Isurus,16,13,Inferno
Team1,Keyd,Isurus,16,4,Dust2
Team1,Keyd,Isurus,4,16,Inferno
Team1,Keyd,Isurus,7,16,Inferno
Team1,Keyd,Isurus,8,16,Inferno
Team1,Keyd,RED Canids,16,6,Nuke
Team1,Keyd,Reapers,9,16,Overpass
Team1,Keyd,Redemption POA,16,8,Vertigo
Team1,Keyd,Santos,16,13,Nuke
Team1,Keyd,Soberano,16,5,Vertigo
Team1,Keyd,W7M,11,16,Mirage
Team1,Keyd,W7M,16,11,Dust2
Team1,Keyd,paiN,12,16,Dust2
Team1,Keyd,paiN,16,11,Vertigo
Team1,Keyd,paiN,19,17,Overpass
Team2,Keyd,Alma,16,8,Mirage
Team2,Keyd,BTRG,21,25,Inferno
Team2,Keyd,DETONA,15,19,Inferno
Team2,Keyd,EOX,16,9,Mirage
Team2,Keyd,INTZ.Academy,16,7,Train
Team2,Keyd,INTZ.Academy,16,9,Dust2
Team2,Keyd,RED Canids,14,16,Overpass
Team2,Keyd,Soberano,16,9,Train
Team2,Keyd,W7M,11,16,Dust2
Team2,Keyd,W7M,12,16,Overpass
Team2,Keyd,paiN,10,16,Inferno
Team2,Keyd,paiN,16,6,Inferno
