Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,LDLC,AGO,19,16,Cache
Team1,LDLC,ALTERNATE aTTaX,16,10,Cache
Team1,LDLC,ALTERNATE aTTaX,16,14,Inferno
Team1,LDLC,AVEZ,12,16,Nuke
Team1,LDLC,Baecon,16,12,Dust2
Team1,LDLC,Baecon,16,5,Nuke
Team1,LDLC,DreamEaters,16,9,Overpass
Team1,LDLC,EURONICS,5,16,Mirage
Team1,LDLC,Endpoint,3,16,Vertigo
Team1,LDLC,Epsilon,9,16,Mirage
Team1,LDLC,FATE,16,8,Dust2
Team1,LDLC,FrostFire,13,16,Mirage
Team1,LDLC,HAVU,13,16,Dust2
Team1,LDLC,HAVU,9,16,Train
Team1,LDLC,Heretics,16,14,Dust2
Team1,LDLC,Heretics,16,14,Nuke
Team1,LDLC,KOVA,16,13,Dust2
Team1,LDLC,KYNYNIEKAT,16,13,Dust2
Team1,LDLC,Maknitude,6,16,Vertigo
Team1,LDLC,Movistar Riders,10,16,Nuke
Team1,LDLC,Movistar Riders,16,13,Mirage
Team1,LDLC,Movistar Riders,8,16,Inferno
Team1,LDLC,NAVI Junior,10,16,Dust2
Team1,LDLC,NAVI Junior,7,16,Vertigo
Team1,LDLC,NAVI Junior,9,16,Inferno
Team1,LDLC,Pompa,16,14,Train
Team1,LDLC,Pompa,16,8,Dust2
Team1,LDLC,Red Reserve,7,16,Cache
Team1,LDLC,SG.pro,9,16,Train
Team1,LDLC,SJ,16,13,Inferno
Team1,LDLC,Sprout,4,16,Inferno
Team1,LDLC,Sprout,6,16,Train
Team1,LDLC,Sprout,7,16,Nuke
Team1,LDLC,Sprout,8,16,Inferno
Team1,LDLC,Syman,16,11,Dust2
Team1,LDLC,TheDice,19,17,Inferno
Team1,LDLC,Unicorns of Love,19,15,Dust2
Team1,LDLC,Universe,16,13,Nuke
Team1,LDLC,Valiance,5,16,Inferno
Team1,LDLC,Vexed,16,10,Cache
Team1,LDLC,Vexed,6,16,Dust2
Team1,LDLC,Vexed,8,16,Inferno
Team1,LDLC,Vitality,13,16,Mirage
Team1,LDLC,Vitality,3,16,Dust2
Team1,LDLC,Vitality,9,16,Nuke
Team1,LDLC,Windigo,22,20,Dust2
Team1,LDLC,Youngsters,16,14,Nuke
Team1,LDLC,ex-Fragsters,9,16,Nuke
Team1,LDLC,expert,16,9,Nuke
Team1,LDLC,expert,6,16,Cache
Team2,LDLC,AGO,12,16,Inferno
Team2,LDLC,AGO,12,16,Overpass
Team2,LDLC,AVEZ,11,16,Train
Team2,LDLC,Aristocracy,12,16,Nuke
Team2,LDLC,DreamEaters,13,16,Dust2
Team2,LDLC,EURONICS,16,8,Dust2
Team2,LDLC,Endpoint,13,16,Dust2
Team2,LDLC,Endpoint,16,6,Inferno
Team2,LDLC,FATE,12,16,Inferno
Team2,LDLC,FrostFire,16,3,Train
Team2,LDLC,Izako Boars,16,5,Dust2
Team2,LDLC,Red Reserve,1,16,Dust2
Team2,LDLC,SG.pro,10,16,Mirage
Team2,LDLC,SG.pro,16,2,Nuke
Team2,LDLC,SJ,16,8,Train
Team2,LDLC,Sprout,10,16,Dust2
Team2,LDLC,TRVPREMESLO,16,2,Nuke
Team2,LDLC,TheDice,16,2,Dust2
Team2,LDLC,TheDice,16,3,Nuke
Team2,LDLC,Universe,16,2,Mirage
Team2,LDLC,Uruguay,12,16,Cache
Team2,LDLC,Valiance,13,16,Cache
Team2,LDLC,Vexed,10,16,Mirage
Team2,LDLC,Virtus.pro,12,16,Nuke
Team2,LDLC,Virtus.pro,14,16,Cache
Team2,LDLC,Windigo,11,16,Overpass
Team2,LDLC,Youngsters,16,8,Train
Team2,LDLC,forZe,17,19,Overpass
Team2,LDLC,x6tence Galaxy,10,16,Overpass
Team2,LDLC,x6tence Galaxy,14,16,Dust2
