Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Lazarus,Bushido Boyz,16,8,Overpass
Team1,Lazarus,Envy,16,12,Dust2
Team1,Lazarus,FURIA,19,15,Mirage
Team1,Lazarus,FURIA,9,16,Mirage
Team1,Lazarus,FURIA,9,16,Nuke
Team1,Lazarus,Hysteria,16,12,Dust2
Team1,Lazarus,INTZ,16,7,Dust2
Team1,Lazarus,Lowkey,16,13,Nuke
Team1,Lazarus,Lowkey,16,8,Mirage
Team1,Lazarus,Luminosity,16,11,Inferno
Team1,Lazarus,New Identity,11,16,Nuke
Team1,Lazarus,New Identity,16,13,Dust2
Team1,Lazarus,Peeker's Advantage,16,11,Dust2
Team1,Lazarus,Riot Squad,12,16,Vertigo
Team1,Lazarus,Riot Squad,16,1,Nuke
Team1,Lazarus,Riot Squad,22,20,Overpass
Team1,Lazarus,Riot Squad,5,16,Train
Team1,Lazarus,Singularity,16,11,Inferno
Team1,Lazarus,Singularity,16,11,Inferno
Team1,Lazarus,Singularity,22,18,Train
Team1,Lazarus,Singularity,6,16,Nuke
Team1,Lazarus,The Quest,16,14,Dust2
Team1,Lazarus,The Quest,16,5,Nuke
Team2,Lazarus,ATK,16,6,Dust2
Team2,Lazarus,ATK,16,6,Mirage
Team2,Lazarus,Big Frames,16,9,Inferno
Team2,Lazarus,Bushido Boyz,16,7,Dust2
Team2,Lazarus,Complexity,16,5,Inferno
Team2,Lazarus,Envy,16,7,Inferno
Team2,Lazarus,FURIA,10,16,Overpass
Team2,Lazarus,Ghost,14,16,Nuke
Team2,Lazarus,Ghost,18,22,Inferno
Team2,Lazarus,INTZ,16,7,Nuke
Team2,Lazarus,Luminosity,16,8,Mirage
Team2,Lazarus,New Identity,16,8,Inferno
Team2,Lazarus,New Identity,19,22,Dust2
Team2,Lazarus,Peeker's Advantage,16,4,Train
Team2,Lazarus,Riot Squad,12,16,Mirage
Team2,Lazarus,Riot Squad,16,9,Overpass
Team2,Lazarus,Sadbots,16,8,Nuke
