Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,LiViD,BLITZKRIEG,16,12,Cache
Team1,LiViD,BLITZKRIEG,5,16,Overpass
Team1,LiViD,Big Frames,16,10,Train
Team1,LiViD,Big Frames,19,16,Inferno
Team1,LiViD,Chaos,2,16,Train
Team1,LiViD,Chaos,5,16,Overpass
Team1,LiViD,Crystal Vision,16,3,Nuke
Team1,LiViD,Divine,19,16,Train
Team1,LiViD,Divine,9,16,Inferno
Team1,LiViD,Faint,16,13,Nuke
Team1,LiViD,Front,16,6,Nuke
Team1,LiViD,Hot Ass,19,16,Overpass
Team1,LiViD,Lazarus,4,16,Mirage
Team1,LiViD,Lazarus,7,16,Inferno
Team1,LiViD,Monstars,16,12,Nuke
Team1,LiViD,Mythic,8,16,Inferno
Team1,LiViD,New England Whalers,16,10,Nuke
Team1,LiViD,New Identity,3,16,Nuke
Team1,LiViD,New Identity,6,16,Mirage
Team1,LiViD,Oceanus,2,16,Nuke
Team1,LiViD,Oceanus,8,16,Mirage
Team1,LiViD,Peeker's Advantage,16,13,Mirage
Team1,LiViD,Polar Ace,16,7,Nuke
Team1,LiViD,RBG,16,10,Overpass
Team1,LiViD,RBG,16,12,Inferno
Team1,LiViD,Rap Gang,16,11,Mirage
Team1,LiViD,Rap Gang,2,16,Inferno
Team1,LiViD,Rap Gang,7,16,Nuke
Team1,LiViD,Recon 5,16,11,Nuke
Team1,LiViD,Recon 5,9,16,Train
Team1,LiViD,Sadboyz,16,13,Inferno
Team1,LiViD,Sadboyz,8,16,Mirage
Team1,LiViD,Strings' Llama Pack,19,22,Mirage
Team1,LiViD,Strings' Llama Pack,9,16,Nuke
Team1,LiViD,The Quest,9,16,Mirage
Team1,LiViD,Thunder Logic,14,16,Train
Team1,LiViD,Thunder Logic,16,14,Nuke
Team1,LiViD,Thunder Logic,9,16,Inferno
Team1,LiViD,absolute mad lads,13,16,Inferno
Team2,LiViD,Big Frames,16,9,Mirage
Team2,LiViD,Bushido Boyz,16,4,Overpass
Team2,LiViD,Crystal Vision,13,16,Overpass
Team2,LiViD,Divine,20,22,Nuke
Team2,LiViD,Front,16,5,Overpass
Team2,LiViD,Grizzlys,23,25,Mirage
Team2,LiViD,Infinity,16,7,Train
Team2,LiViD,Monstars,16,9,Inferno
Team2,LiViD,New Identity,12,16,Overpass
Team2,LiViD,Oceanus,17,19,Nuke
Team2,LiViD,Polar Ace,16,9,Inferno
Team2,LiViD,Recon 5,13,16,Mirage
Team2,LiViD,Sadboyz,16,8,Overpass
Team2,LiViD,Station7,10,16,Mirage
Team2,LiViD,TeamOne,12,16,Nuke
Team2,LiViD,The Quest,14,16,Nuke
Team2,LiViD,The Quest,16,7,Mirage
Team2,LiViD,absolute mad lads,16,8,Mirage
