Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,London,BuzzKill,16,14,Mirage
Team1,London,CeX,16,13,Nuke
Team1,London,CeX,16,14,Inferno
Team1,London,CeX,16,3,Inferno
Team1,London,CeX,8,16,Overpass
Team1,London,Copenhagen Flames,16,12,Cache
Team1,London,DarkSpawn,16,7,Nuke
Team1,London,DarkSpawn,28,25,Inferno
Team1,London,Endpoint,16,8,Inferno
Team1,London,Fierce,16,12,Dust2
Team1,London,Fierce,16,12,Nuke
Team1,London,Fierce,6,16,Overpass
Team1,London,London Slayers,16,8,Inferno
Team1,London,SJ,12,16,Mirage
Team1,London,SJ,3,16,Inferno
Team1,London,expert,13,16,Train
Team1,London,reflex,16,6,Inferno
Team1,London,reflex,3,16,Mirage
Team2,London,BuzzKill,12,16,Dust2
Team2,London,Copenhagen Flames,16,6,Overpass
Team2,London,Endpoint,14,16,Overpass
Team2,London,Fierce,10,16,Train
Team2,London,London Slayers,11,16,Train
Team2,London,London Slayers,13,16,Overpass
Team2,London,ex-Fragsters,13,16,Dust2
