Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Luminosity,Bad News Bears,16,13,Cache
Team1,Luminosity,Bad News Bears,16,14,Dust2
Team1,Luminosity,Cloud9,12,16,Mirage
Team1,Luminosity,Cloud9,16,12,Train
Team1,Luminosity,Cloud9,16,13,Dust2
Team1,Luminosity,Cloud9,7,16,Inferno
Team1,Luminosity,Complexity,16,13,Overpass
Team1,Luminosity,Denial,17,19,Cache
Team1,Luminosity,Denial,4,16,Inferno
Team1,Luminosity,Envy,16,5,Cache
Team1,Luminosity,FURIA,14,16,Cache
Team1,Luminosity,FURIA,19,17,Overpass
Team1,Luminosity,FaZe,8,16,Overpass
Team1,Luminosity,Ghost,9,16,Inferno
Team1,Luminosity,HellRaisers,7,16,Mirage
Team1,Luminosity,INTZ,14,16,Mirage
Team1,Luminosity,INTZ,14,16,Overpass
Team1,Luminosity,Infinity,16,11,Dust2
Team1,Luminosity,Lazarus,16,12,Mirage
Team1,Luminosity,Liquid,12,16,Overpass
Team1,Luminosity,MASSIVEimpact,16,1,Train
Team1,Luminosity,MIBR,13,16,Dust2
Team1,Luminosity,MIBR,9,16,Mirage
Team1,Luminosity,Party Astronauts,5,16,Overpass
Team1,Luminosity,Singularity,16,10,Overpass
Team1,Luminosity,Swole Patrol,16,14,Mirage
Team1,Luminosity,TeamOne,16,12,Inferno
Team1,Luminosity,TeamOne,16,12,Mirage
Team1,Luminosity,TeamOne,17,19,Overpass
Team2,Luminosity,FURIA,12,16,Train
Team2,Luminosity,FURIA,13,16,Train
Team2,Luminosity,INTZ,13,16,Train
Team2,Luminosity,INTZ,16,7,Inferno
Team2,Luminosity,Lazarus,10,16,Inferno
Team2,Luminosity,Lazarus,14,16,Dust2
Team2,Luminosity,Mythic,16,7,Cache
Team2,Luminosity,Polar Ace,16,6,Mirage
Team2,Luminosity,Stay Frosty,11,16,Inferno
Team2,Luminosity,eUnited,16,19,Mirage
