Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,MAD Lions,Cloud9,16,7,Nuke
Team1,MAD Lions,Cloud9,25,23,Inferno
Team1,MAD Lions,Defusekids,16,12,Vertigo
Team1,MAD Lions,Evil Geniuses,16,14,Dust2
Team1,MAD Lions,Evil Geniuses,5,16,Nuke
Team1,MAD Lions,Evil Geniuses,7,16,Vertigo
Team1,MAD Lions,HAVU,16,12,Mirage
Team1,MAD Lions,Heroic,16,13,Mirage
Team1,MAD Lions,Heroic,16,7,Nuke
Team1,MAD Lions,Illuminar,10,16,Overpass
Team1,MAD Lions,Illuminar,16,12,Nuke
Team1,MAD Lions,MIBR,16,11,Mirage
Team1,MAD Lions,MIBR,16,13,Train
Team1,MAD Lions,Movistar Riders,13,16,Mirage
Team1,MAD Lions,Movistar Riders,3,16,Inferno
Team1,MAD Lions,North,14,16,Dust2
Team1,MAD Lions,North,16,10,Overpass
Team1,MAD Lions,Renegades,16,11,Train
Team1,MAD Lions,SKADE,16,10,Nuke
Team1,MAD Lions,SKADE,7,16,Dust2
Team1,MAD Lions,Winstrike,16,13,Train
Team1,MAD Lions,mousesports,11,16,Dust2
Team2,MAD Lions,Apeks,16,4,Overpass
Team2,MAD Lions,Defusekids,16,7,Dust2
Team2,MAD Lions,G2,13,16,Nuke
Team2,MAD Lions,HAVU,13,16,Nuke
Team2,MAD Lions,Illuminar,16,4,Vertigo
Team2,MAD Lions,MIBR,13,16,Train
Team2,MAD Lions,Renegades,11,16,Dust2
Team2,MAD Lions,mousesports,15,19,Mirage
