Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,MVP PK,2990,16,10,Mirage
Team1,MVP PK,2990,16,3,Nuke
Team1,MVP PK,5POWER,12,16,Overpass
Team1,MVP PK,5POWER,16,14,Mirage
Team1,MVP PK,AUGUST,16,14,Inferno
Team1,MVP PK,AUGUST,19,16,Inferno
Team1,MVP PK,AUGUST,4,16,Train
Team1,MVP PK,AVANT,16,11,Dust2
Team1,MVP PK,AVANT,16,9,Inferno
Team1,MVP PK,Absolute,16,5,Inferno
Team1,MVP PK,Alpha Red,19,17,Mirage
Team1,MVP PK,D13,11,16,Mirage
Team1,MVP PK,D13,5,16,Train
Team1,MVP PK,D13,9,16,Inferno
Team1,MVP PK,FFAmix,16,13,Inferno
Team1,MVP PK,FFAmix,16,9,Nuke
Team1,MVP PK,GOSU,16,14,Mirage
Team1,MVP PK,GOSU,16,5,Nuke
Team1,MVP PK,Ignis,16,7,Overpass
Team1,MVP PK,Invictus,10,16,Dust2
Team1,MVP PK,Invictus,4,16,Train
Team1,MVP PK,Lucid Dream,16,12,Inferno
Team1,MVP PK,Lucid Dream,16,13,Mirage
Team1,MVP PK,Lucid Dream,5,16,Nuke
Team1,MVP PK,Mazaalai,16,13,Dust2
Team1,MVP PK,Recca,16,10,Overpass
Team1,MVP PK,TYLOO,16,7,Inferno
Team1,MVP PK,TYLOO,19,17,Mirage
Team1,MVP PK,TYLOO,4,16,Dust2
Team1,MVP PK,TYLOO,6,16,Inferno
Team1,MVP PK,TYLOO,9,16,Inferno
Team1,MVP PK,Updraft,16,6,Dust2
Team1,MVP PK,ikarus,16,1,Overpass
Team1,MVP PK,ikarus,19,15,Inferno
Team2,MVP PK,Absolute,14,16,Mirage
Team2,MVP PK,Absolute,16,8,Overpass
Team2,MVP PK,Alpha Red,16,3,Inferno
Team2,MVP PK,D13,12,16,Train
Team2,MVP PK,IM11,16,3,Inferno
Team2,MVP PK,IM11,16,5,Mirage
Team2,MVP PK,Ignis,16,2,Inferno
Team2,MVP PK,Ignis,16,8,Mirage
Team2,MVP PK,LaZe,16,7,Inferno
Team2,MVP PK,Lucid Dream,10,16,Mirage
Team2,MVP PK,Mazaalai,16,2,Mirage
Team2,MVP PK,Mazaalai,16,6,Nuke
Team2,MVP PK,Mazaalai,16,9,Dust2
Team2,MVP PK,Recca,16,4,Mirage
Team2,MVP PK,Renegades,13,16,Inferno
Team2,MVP PK,Storm Rider,16,6,Train
Team2,MVP PK,TYLOO,10,16,Train
Team2,MVP PK,Updraft,16,9,Mirage
Team2,MVP PK,ex-Storm Riders,16,2,Overpass
Team2,MVP PK,ex-Storm Riders,16,5,Inferno
