Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Maple,24BHB,16,6,Mirage
Team1,Maple,2Be Continued,16,7,Overpass
Team1,Maple,Alpha Red,12,16,Inferno
Team1,Maple,Alpha Red,16,12,Overpass
Team1,Maple,Alpha Red,19,16,Mirage
Team1,Maple,Alpha Red,4,16,Mirage
Team1,Maple,Alpha Red,4,16,Overpass
Team1,Maple,Alpha Red,7,16,Mirage
Team1,Maple,ArkAngel,14,16,Inferno
Team1,Maple,Aster,16,10,Mirage
Team1,Maple,Aster,16,13,Inferno
Team1,Maple,Astro,10,16,Train
Team1,Maple,BOOT,16,8,Mirage
Team1,Maple,BTRG,22,25,Mirage
Team1,Maple,BTRG,6,16,Nuke
Team1,Maple,BTRG,7,16,Mirage
Team1,Maple,BTRG,7,16,Train
Team1,Maple,BTRG,9,16,Overpass
Team1,Maple,Beyond,11,16,Nuke
Team1,Maple,Beyond,16,1,Inferno
Team1,Maple,Beyond,16,10,Overpass
Team1,Maple,Beyond,16,10,Vertigo
Team1,Maple,Beyond,16,12,Train
Team1,Maple,Beyond,8,16,Inferno
Team1,Maple,Beyond,9,16,Dust2
Team1,Maple,Bren,12,16,Mirage
Team1,Maple,Bren,19,15,Inferno
Team1,Maple,HZ,23,25,Nuke
Team1,Maple,HZ,6,16,Inferno
Team1,Maple,Lucid Dream,16,8,Mirage
Team1,Maple,Lucid Dream,16,9,Train
Team1,Maple,Lucid Dream,3,16,Mirage
Team1,Maple,Lucid Dream,5,16,Nuke
Team1,Maple,Paper Rex,16,10,Overpass
Team1,Maple,Recca,16,14,Mirage
Team1,Maple,Se7en,16,13,Mirage
Team1,Maple,TNC,16,10,Mirage
Team1,Maple,ViCi,7,16,Vertigo
Team2,Maple,24BHB,16,6,Inferno
Team2,Maple,2Be Continued,16,5,Mirage
Team2,Maple,Alpha Red,11,16,Overpass
Team2,Maple,Alpha Red,13,16,Dust2
Team2,Maple,ArkAngel,12,16,Inferno
Team2,Maple,ArkAngel,16,6,Mirage
Team2,Maple,Astro,16,5,Mirage
Team2,Maple,BOOT,16,9,Dust2
Team2,Maple,BTRG,16,6,Nuke
Team2,Maple,Beyond,12,16,Cache
Team2,Maple,Beyond,16,3,Nuke
Team2,Maple,Lucid Dream,10,16,Nuke
Team2,Maple,Lucid Dream,16,7,Nuke
Team2,Maple,Paper Rex,13,16,Nuke
Team2,Maple,Recca,16,6,Train
Team2,Maple,TNC,16,6,Nuke
Team2,Maple,VG.Anthrax,16,2,Train
Team2,Maple,VG.Anthrax,16,9,Vertigo
Team2,Maple,ViCi,10,16,Train
Team2,Maple,ViCi,16,9,Overpass
