Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Monarchs,Defusekids,16,13,Inferno
Team1,Monarchs,Granit,16,6,Inferno
Team1,Monarchs,Lilmix,5,16,Inferno
Team1,Monarchs,Movistar Riders,12,16,Overpass
Team1,Monarchs,preanus,16,11,Nuke
Team2,Monarchs,Defusekids,16,8,Overpass
Team2,Monarchs,EsportsAdviser,13,16,Train
Team2,Monarchs,EsportsAdviser,16,8,Inferno
Team2,Monarchs,Granit,16,2,Train
Team2,Monarchs,Lilmix,11,16,Overpass
Team2,Monarchs,Movistar Riders,10,16,Train
Team2,Monarchs,Wohooo,16,5,Inferno
