Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Monstars,Bad News Bears,16,13,Inferno
Team1,Monstars,Ben's Anime Team,8,16,Inferno
Team1,Monstars,Divine,25,23,Inferno
Team1,Monstars,LiViD,16,11,Overpass
Team1,Monstars,LiViD,9,16,Nuke
Team1,Monstars,MAC-51,6,16,Inferno
Team1,Monstars,Rap Gang,11,16,Train
Team1,Monstars,Rap Gang,16,12,Inferno
Team1,Monstars,Rap Gang,16,13,Nuke
Team1,Monstars,Riot Squad,8,16,Overpass
Team1,Monstars,Station7,9,16,Mirage
Team1,Monstars,Stomps Money Crew,16,7,Inferno
Team1,Monstars,Swole Patrol,10,16,Overpass
Team1,Monstars,Swole Patrol,8,16,Inferno
Team1,Monstars,The Quest,8,16,Inferno
Team1,Monstars,Thunder Logic,19,17,Nuke
Team2,Monstars,Depth,16,6,Nuke
Team2,Monstars,INTZ,10,16,Inferno
Team2,Monstars,In The Lab,16,19,Train
Team2,Monstars,J Money Crew,13,16,Overpass
Team2,Monstars,Polar Ace,12,16,Inferno
Team2,Monstars,Stomps Money Crew,16,4,Mirage
Team2,Monstars,Swole Identity,14,16,Train
Team2,Monstars,TeamOne,16,6,Mirage
Team2,Monstars,Thunder Logic,16,5,Nuke
Team2,Monstars,Thunder Logic,16,6,Mirage
