Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,NAVI Junior,AUGUST,16,10,Dust2
Team1,NAVI Junior,AUGUST,16,11,Mirage
Team1,NAVI Junior,AUGUST,6,16,Mirage
Team1,NAVI Junior,Axis,9,16,Dust2
Team1,NAVI Junior,Copenhagen Flames,5,16,Overpass
Team1,NAVI Junior,Copenhagen Flames,6,16,Mirage
Team1,NAVI Junior,Espada,22,18,Train
Team1,NAVI Junior,Espada,3,16,Overpass
Team1,NAVI Junior,Hard Legion,16,13,Overpass
Team1,NAVI Junior,Hard Legion,16,14,Inferno
Team1,NAVI Junior,HellRaisers,16,14,Dust2
Team1,NAVI Junior,HellRaisers,16,14,Overpass
Team1,NAVI Junior,HellRaisers,19,17,Train
Team1,NAVI Junior,HellRaisers,6,16,Overpass
Team1,NAVI Junior,HellRaisers,9,16,Inferno
Team1,NAVI Junior,Heretics,12,16,Mirage
Team1,NAVI Junior,Invictus,8,16,Mirage
Team1,NAVI Junior,LDLC,16,9,Mirage
Team1,NAVI Junior,MAJESTY,12,16,Overpass
Team1,NAVI Junior,MAJESTY,16,11,Vertigo
Team1,NAVI Junior,Mustang Crew,16,9,Dust2
Team1,NAVI Junior,Mustang Crew,19,15,Train
Team1,NAVI Junior,Nemiga,8,16,Inferno
Team1,NAVI Junior,Project X,7,16,Dust2
Team1,NAVI Junior,Project X,7,16,Mirage
Team1,NAVI Junior,Skin Ogres,16,12,Dust2
Team1,NAVI Junior,Spirit,9,16,Dust2
Team1,NAVI Junior,Tricked,22,20,Train
Team1,NAVI Junior,Winstrike,12,16,Mirage
Team1,NAVI Junior,Winstrike,20,22,Mirage
Team1,NAVI Junior,Winstrike,6,16,Overpass
Team1,NAVI Junior,Winstrike,8,16,Nuke
Team1,NAVI Junior,eXtatus,7,16,Inferno
Team2,NAVI Junior,Axis,10,16,Mirage
Team2,NAVI Junior,Axis,16,7,Vertigo
Team2,NAVI Junior,Espada,11,16,Dust2
Team2,NAVI Junior,Hard Legion,12,16,Dust2
Team2,NAVI Junior,HellRaisers,11,16,Dust2
Team2,NAVI Junior,HellRaisers,16,7,Dust2
Team2,NAVI Junior,Heretics,11,16,Vertigo
Team2,NAVI Junior,Invictus,16,3,Vertigo
Team2,NAVI Junior,Invictus,19,22,Train
Team2,NAVI Junior,LDLC,15,19,Inferno
Team2,NAVI Junior,Nemiga,14,16,Mirage
Team2,NAVI Junior,Nemiga,16,5,Vertigo
Team2,NAVI Junior,Skin Ogres,16,8,Inferno
Team2,NAVI Junior,Skin Ogres,16,8,Mirage
Team2,NAVI Junior,Spirit,12,16,Inferno
Team2,NAVI Junior,Tricked,16,5,Vertigo
Team2,NAVI Junior,Winstrike,20,22,Dust2
