Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,New England Whalers,Bust Down,16,14,Mirage
Team1,New England Whalers,Chaos,12,16,Nuke
Team1,New England Whalers,Divine,16,14,Overpass
Team1,New England Whalers,Divine,9,16,Mirage
Team1,New England Whalers,Holo,16,10,Dust2
Team1,New England Whalers,Hysteria,9,16,Mirage
Team1,New England Whalers,In The Lab,16,12,Inferno
Team1,New England Whalers,Infinity,7,16,Inferno
Team1,New England Whalers,J Money Crew,3,16,Dust2
Team1,New England Whalers,Just For Fun,5,16,Mirage
Team1,New England Whalers,Mythic,16,13,Dust2
Team1,New England Whalers,Mythic,16,13,Overpass
Team1,New England Whalers,Orion,16,4,Nuke
Team1,New England Whalers,Peeker's Advantage,4,16,Dust2
Team1,New England Whalers,Polar Ace,16,10,Overpass
Team1,New England Whalers,Swedish Canadians,7,16,Mirage
Team1,New England Whalers,Swedish Canadians,9,16,Overpass
Team1,New England Whalers,Swole Identity,8,16,Mirage
Team1,New England Whalers,TeamOne,8,16,Train
Team1,New England Whalers,Triumph,16,14,Inferno
Team1,New England Whalers,Triumph,3,16,Overpass
Team1,New England Whalers,UCF Knights,16,5,Mirage
Team1,New England Whalers,UCF Knights,25,23,Overpass
Team1,New England Whalers,bloo,16,13,Dust2
Team1,New England Whalers,call it luck,16,13,Inferno
Team2,New England Whalers,Buffdaddy's Paypal,16,9,Overpass
Team2,New England Whalers,Hysteria,14,16,Dust2
Team2,New England Whalers,Just For Fun,12,16,Inferno
Team2,New England Whalers,Monstars,11,16,Overpass
Team2,New England Whalers,Mythic,12,16,Overpass
Team2,New England Whalers,Orgless,13,16,Nuke
Team2,New England Whalers,Orion,16,8,Mirage
Team2,New England Whalers,Peeker's Advantage,10,16,Vertigo
Team2,New England Whalers,Rugratz,10,16,Mirage
Team2,New England Whalers,Station7,12,16,Inferno
Team2,New England Whalers,Swole Identity,12,16,Mirage
Team2,New England Whalers,Swole Identity,12,16,Vertigo
Team2,New England Whalers,Triumph,14,16,Train
Team2,New England Whalers,Warriors International,16,3,Overpass
