Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,New Identity,Big Frames,16,11,Overpass
Team1,New Identity,Big Frames,16,6,Nuke
Team1,New Identity,Bushido Boyz,16,14,Mirage
Team1,New Identity,Cloud9,16,9,Inferno
Team1,New Identity,Divine,11,16,Vertigo
Team1,New Identity,Divine,16,11,Overpass
Team1,New Identity,Envy,14,16,Mirage
Team1,New Identity,J Money Crew,16,6,Mirage
Team1,New Identity,J Money Crew,8,16,Dust2
Team1,New Identity,Just Swing,16,1,Overpass
Team1,New Identity,Kansas City Pioneers,19,17,Overpass
Team1,New Identity,Lazarus,19,16,Overpass
Team1,New Identity,Lazarus,8,16,Dust2
Team1,New Identity,Lazarus,8,16,Mirage
Team1,New Identity,Lazarus,8,16,Nuke
Team1,New Identity,Lazarus,9,16,Dust2
Team1,New Identity,MAC-51,16,12,Dust2
Team1,New Identity,Mythic,16,11,Dust2
Team1,New Identity,Mythic,16,11,Overpass
Team1,New Identity,Mythic,16,14,Inferno
Team1,New Identity,Mythic,8,16,Overpass
Team1,New Identity,Party Astronauts,16,13,Mirage
Team1,New Identity,Rap Gang,16,10,Mirage
Team1,New Identity,Singularity,4,16,Inferno
Team1,New Identity,TeamOne,5,16,Nuke
Team1,New Identity,TeamOne,8,16,Overpass
Team1,New Identity,eUnited,12,16,Dust2
Team1,New Identity,eUnited,8,16,Mirage
Team1,New Identity,eUnited,9,16,Overpass
Team1,New Identity,heX,16,12,Nuke
Team1,New Identity,heX,16,2,Overpass
Team2,New Identity,Ascent,16,7,Dust2
Team2,New Identity,Kansas City Pioneers,13,16,Nuke
Team2,New Identity,Kinesis,16,4,Dust2
Team2,New Identity,Kinesis,16,4,Mirage
Team2,New Identity,Lazarus,13,16,Mirage
Team2,New Identity,Lowkey,16,3,Overpass
Team2,New Identity,Onyx,16,4,Mirage
Team2,New Identity,Rebirth,16,4,Mirage
Team2,New Identity,Rebirth,16,7,Dust2
Team2,New Identity,Singularity,10,16,Vertigo
Team2,New Identity,TeamOne,20,22,Overpass
Team2,New Identity,The Quest,16,5,Overpass
Team2,New Identity,The Quest,16,9,Mirage
Team2,New Identity,Thunder Logic,11,16,Train
