Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Niknexus,All Knights,5,16,Mirage
Team1,Niknexus,All Knights,7,16,Inferno
Team1,Niknexus,Anunnaki,13,16,Overpass
Team1,Niknexus,Anunnaki,16,12,Cache
Team1,Niknexus,Black Label Society,16,10,Mirage
Team1,Niknexus,FULL SEND,5,16,Train
Team1,Niknexus,FULL SEND,9,16,Cache
Team1,Niknexus,Jaguar,16,11,Cache
Team1,Niknexus,Jaguar,19,17,Mirage
Team1,Niknexus,Jaguar,7,16,Dust2
Team1,Niknexus,Nova Dragons,16,3,Overpass
Team2,Niknexus,Black Label Society,16,3,Overpass
