Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,NoChance,AGO,8,16,Cache
Team1,NoChance,ALTERNATE aTTaX,12,16,Inferno
Team1,NoChance,ALTERNATE aTTaX,16,14,Train
Team1,NoChance,Ancient,16,11,Dust2
Team1,NoChance,Ancient,16,13,Overpass
Team1,NoChance,Ancient,19,17,Train
Team1,NoChance,Copenhagen Flames,16,8,Dust2
Team1,NoChance,Copenhagen Flames,19,16,Overpass
Team1,NoChance,DreamEaters,16,10,Inferno
Team1,NoChance,Epsilon,12,16,Mirage
Team1,NoChance,GoldenGitte,16,12,Train
Team1,NoChance,HAVU,9,16,Inferno
Team1,NoChance,Heroic,16,9,Nuke
Team1,NoChance,Izako Boars,25,23,Inferno
Team1,NoChance,Movistar Riders,16,14,Inferno
Team1,NoChance,Movistar Riders,19,17,Nuke
Team1,NoChance,Nemiga,14,16,Mirage
Team1,NoChance,Nemiga,16,7,Vertigo
Team1,NoChance,Nemiga,6,16,Mirage
Team1,NoChance,North,9,16,Dust2
Team1,NoChance,OpTic,19,17,Train
Team1,NoChance,OpTic,5,16,Inferno
Team1,NoChance,OpTic,7,16,Overpass
Team1,NoChance,PACT,16,11,Inferno
Team1,NoChance,PACT,16,14,Dust2
Team1,NoChance,PACT,16,6,Nuke
Team1,NoChance,PEEKERS,16,13,Inferno
Team1,NoChance,PEEKERS,19,17,Dust2
Team1,NoChance,SJ,16,10,Train
Team1,NoChance,Syman,16,10,Dust2
Team1,NoChance,Syman,22,19,Mirage
Team1,NoChance,Tricked,16,10,Overpass
Team1,NoChance,Tricked,7,16,Nuke
Team1,NoChance,Uruguay,16,10,Overpass
Team1,NoChance,Uruguay,9,16,Inferno
Team1,NoChance,Virtus.pro,16,11,Inferno
Team1,NoChance,Windigo,13,16,Mirage
Team1,NoChance,Windigo,9,16,Mirage
Team1,NoChance,cats,16,14,Mirage
Team1,NoChance,devils.one,8,16,Dust2
Team1,NoChance,tomorrow will be better,16,10,Mirage
Team1,NoChance,x-kom,16,9,Cache
Team1,NoChance,x-kom,19,16,Inferno
Team2,NoChance,AGO,16,6,Overpass
Team2,NoChance,AGO,16,9,Mirage
Team2,NoChance,ALTERNATE aTTaX,16,6,Dust2
Team2,NoChance,ALTERNATE aTTaX,16,7,Mirage
Team2,NoChance,AVANGAR,11,16,Overpass
Team2,NoChance,AVANGAR,12,16,Mirage
Team2,NoChance,Ancient,16,7,Dust2
Team2,NoChance,Defusekids,16,7,Overpass
Team2,NoChance,DreamEaters,13,16,Overpass
Team2,NoChance,Epsilon,10,16,Dust2
Team2,NoChance,HAVU,12,16,Train
Team2,NoChance,HOLLYWOOD,14,16,Dust2
Team2,NoChance,North,13,16,Mirage
Team2,NoChance,OFFSET,16,6,Inferno
Team2,NoChance,OFFSET,16,8,Vertigo
Team2,NoChance,PEEKERS,11,16,Mirage
Team2,NoChance,Tricked,11,16,Train
Team2,NoChance,Tricked,14,16,Inferno
Team2,NoChance,Tricked,16,9,Mirage
Team2,NoChance,Windigo,10,16,Overpass
Team2,NoChance,Windigo,13,16,Inferno
Team2,NoChance,Windigo,16,19,Mirage
Team2,NoChance,Windigo,16,2,Nuke
Team2,NoChance,Windigo,16,8,Dust2
Team2,NoChance,Windigo,16,8,Inferno
Team2,NoChance,Winstrike,16,19,Mirage
Team2,NoChance,cats,16,8,Dust2
Team2,NoChance,devils.one,12,16,Train
Team2,NoChance,tomorrow will be better,16,5,Inferno
Team2,NoChance,unknown,16,5,Inferno
Team2,NoChance,x-kom,10,16,Cache
Team2,NoChance,x-kom,16,2,Mirage
