Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Old Guys Club,Bad News Bears,5,16,Mirage
Team1,Old Guys Club,Final Feature,16,11,Nuke
Team1,Old Guys Club,INTZ,16,11,Inferno
Team1,Old Guys Club,INTZ,7,16,Train
Team1,Old Guys Club,Infamous,16,10,Train
Team1,Old Guys Club,MASSIVEimpact,11,16,Inferno
Team1,Old Guys Club,MASSIVEimpact,16,10,Cache
Team1,Old Guys Club,Singularity,9,16,Overpass
Team1,Old Guys Club,TeamOne,3,16,Cache
Team1,Old Guys Club,The Quest,10,16,Inferno
Team1,Old Guys Club,Zone,16,8,Cache
Team2,Old Guys Club,Denial,12,16,Inferno
Team2,Old Guys Club,Luminosity,20,22,Mirage
Team2,Old Guys Club,MASSIVEimpact,13,16,Train
Team2,Old Guys Club,Mythic,11,16,Dust2
Team2,Old Guys Club,Party Astronauts,11,16,Nuke
Team2,Old Guys Club,The Quest,12,16,Nuke
Team2,Old Guys Club,Zone,10,16,Mirage
