Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,OneThree,5POWER,10,16,Train
Team1,OneThree,5POWER,16,10,Dust2
Team1,OneThree,5POWER,16,9,Mirage
Team1,OneThree,5POWER,8,16,Overpass
Team1,OneThree,AUGUST,8,16,Dust2
Team1,OneThree,Alpha Red,16,14,Dust2
Team1,OneThree,Alpha Red,16,9,Train
Team1,OneThree,Copenhagen Flames,16,10,Inferno
Team1,OneThree,Copenhagen Flames,5,16,Nuke
Team1,OneThree,EHOME,11,16,Train
Team1,OneThree,Invictus,16,8,Mirage
Team1,OneThree,Invictus,8,16,Train
Team1,OneThree,Invictus,9,16,Nuke
Team1,OneThree,JiJieHao,16,14,Mirage
Team1,OneThree,JiJieHao,16,19,Nuke
Team1,OneThree,Lynn Vision,19,15,Mirage
Team1,OneThree,SJ,3,16,Nuke
Team1,OneThree,SJ,8,16,Mirage
Team1,OneThree,SKADE,16,10,Inferno
Team1,OneThree,SKADE,16,8,Overpass
Team1,OneThree,TYLOO,12,16,Inferno
Team1,OneThree,TYLOO,14,16,Dust2
Team1,OneThree,TYLOO,5,16,Dust2
Team1,OneThree,TYLOO,6,16,Mirage
Team1,OneThree,ahq,16,10,Dust2
Team2,OneThree,4Bowie,16,4,Dust2
Team2,OneThree,5POWER,16,9,Inferno
Team2,OneThree,Aster,14,16,Train
Team2,OneThree,BOOT,12,16,Inferno
Team2,OneThree,EHOME,11,16,Train
Team2,OneThree,EHOME,16,9,Dust2
Team2,OneThree,L9L,14,16,Inferno
Team2,OneThree,Lynn Vision,12,16,Inferno
Team2,OneThree,Lynn Vision,13,16,Dust2
Team2,OneThree,Lynn Vision,14,16,Dust2
Team2,OneThree,Lynn Vision,16,8,Mirage
Team2,OneThree,Rstar,16,3,Inferno
Team2,OneThree,Rstar,16,4,Overpass
Team2,OneThree,SKADE,16,4,Mirage
Team2,OneThree,adwokacik,16,5,Train
