Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Orgless,AVEZ,16,14,Nuke
Team1,Orgless,Big Frames,16,10,Nuke
Team1,Orgless,Big Frames,16,11,Inferno
Team1,Orgless,Chaos,12,16,Nuke
Team1,Orgless,Chaos,19,16,Inferno
Team1,Orgless,Cloud9,10,16,Inferno
Team1,Orgless,Cloud9,11,16,Inferno
Team1,Orgless,Dignitas,11,16,Inferno
Team1,Orgless,Dignitas,16,10,Nuke
Team1,Orgless,Dignitas,16,4,Mirage
Team1,Orgless,MIBR,6,16,Dust2
Team1,Orgless,New England Whalers,16,11,Dust2
Team1,Orgless,New England Whalers,16,7,Mirage
Team1,Orgless,Swole Identity,16,10,Nuke
Team1,Orgless,Swole Identity,16,11,Train
Team1,Orgless,Triumph,12,16,Dust2
Team1,Orgless,Triumph,16,11,Nuke
Team1,Orgless,Yeah,11,16,Nuke
Team1,Orgless,Yeah,7,16,Inferno
Team1,Orgless,eUnited,16,13,Overpass
Team1,Orgless,eUnited,16,14,Nuke
Team1,Orgless,eUnited,5,16,Train
Team1,Orgless,ex-eUnited,16,12,Inferno
Team2,Orgless,Chaos,13,16,Overpass
Team2,Orgless,Chaos,16,6,Overpass
Team2,Orgless,Chaos,23,25,Nuke
Team2,Orgless,Cloud9,14,16,Dust2
Team2,Orgless,Cloud9,17,19,Overpass
Team2,Orgless,Dignitas,12,16,Inferno
Team2,Orgless,Dignitas,12,16,Nuke
Team2,Orgless,Faint,16,5,Train
Team2,Orgless,Recon 5,12,16,Inferno
Team2,Orgless,Yeah,16,6,Nuke
Team2,Orgless,Yeah,16,9,Dust2
