Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,PACT,AGF,16,4,Inferno
Team1,PACT,AGO,8,16,Dust2
Team1,PACT,AGO,9,16,Inferno
Team1,PACT,ALTERNATE aTTaX,16,13,Inferno
Team1,PACT,AVANGAR,7,16,Vertigo
Team1,PACT,AVEZ,11,16,Overpass
Team1,PACT,AVEZ,8,16,Vertigo
Team1,PACT,Ambush,13,16,Inferno
Team1,PACT,Ambush,16,11,Vertigo
Team1,PACT,Ambush,16,9,Dust2
Team1,PACT,Ambush,19,16,Nuke
Team1,PACT,Ambush,22,19,Inferno
Team1,PACT,Apeks,16,13,Nuke
Team1,PACT,Aristocracy,9,16,Train
Team1,PACT,BIG,7,16,Dust2
Team1,PACT,Brutalis,19,17,Nuke
Team1,PACT,Brutalis,22,20,Inferno
Team1,PACT,Capri Sun,16,13,Train
Team1,PACT,Capri Sun,4,16,Inferno
Team1,PACT,Chaos,7,16,Overpass
Team1,PACT,Copenhagen Flames,16,14,Train
Team1,PACT,Copenhagen Flames,4,16,Nuke
Team1,PACT,Defusekids,16,11,Inferno
Team1,PACT,Defusekids,16,13,Nuke
Team1,PACT,Demolition Crew,10,16,Overpass
Team1,PACT,DreamEaters,16,5,Inferno
Team1,PACT,Epsilon,17,19,Cache
Team1,PACT,Giants,16,10,Inferno
Team1,PACT,Giants,16,13,Vertigo
Team1,PACT,HASZTASZ,16,1,Mirage
Team1,PACT,HAVU,16,11,Inferno
Team1,PACT,HAVU,16,13,Dust2
Team1,PACT,HAVU,3,16,Inferno
Team1,PACT,HAVU,9,16,Dust2
Team1,PACT,HellRaisers,19,17,Nuke
Team1,PACT,Illuminar,16,10,Nuke
Team1,PACT,Illuminar,16,11,Train
Team1,PACT,Illuminar,16,12,Overpass
Team1,PACT,Izako Boars,13,16,Overpass
Team1,PACT,Izako Boars,16,11,Mirage
Team1,PACT,Izako Boars,16,12,Vertigo
Team1,PACT,Izako Boars,16,5,Inferno
Team1,PACT,Izako Boars,16,7,Dust2
Team1,PACT,Japaleno,8,16,Overpass
Team1,PACT,LDLC,13,16,Mirage
Team1,PACT,LDLC,16,11,Nuke
Team1,PACT,LDLC,6,16,Nuke
Team1,PACT,MiTH.Maple,16,13,Nuke
Team1,PACT,MiTH.Maple,16,8,Nuke
Team1,PACT,MiTH.Maple,8,16,Mirage
Team1,PACT,Movistar Riders,7,16,Vertigo
Team1,PACT,Nemiga,3,16,Inferno
Team1,PACT,Nemiga,7,16,Inferno
Team1,PACT,OESU,12,16,Mirage
Team1,PACT,OESU,16,11,Inferno
Team1,PACT,Pompa,16,13,Dust2
Team1,PACT,SG.pro,16,14,Train
Team1,PACT,SG.pro,22,19,Nuke
Team1,PACT,SJ,16,11,Train
Team1,PACT,SKADE,16,12,Nuke
Team1,PACT,SKADE,16,12,Train
Team1,PACT,SMASH,3,16,Inferno
Team1,PACT,Se7en,32,34,Nuke
Team1,PACT,Singularity,16,10,Nuke
Team1,PACT,Smoke Criminals,10,16,Dust2
Team1,PACT,Tricked,16,14,Inferno
Team1,PACT,Tricked,19,17,Dust2
Team1,PACT,Tricked,8,16,Overpass
Team1,PACT,Tricked,9,16,Mirage
Team1,PACT,Unicorns of Love,14,16,Inferno
Team1,PACT,Unicorns of Love,16,12,Vertigo
Team1,PACT,Unicorns of Love,9,16,Vertigo
Team1,PACT,Unique,16,10,Nuke
Team1,PACT,Unique,16,12,Vertigo
Team1,PACT,Unique,16,13,Nuke
Team1,PACT,Unique,16,8,Dust2
Team1,PACT,Unique,7,16,Mirage
Team1,PACT,Unique,8,16,Dust2
Team1,PACT,Winstrike,5,16,Mirage
Team1,PACT,Wisla Krakow,7,16,Nuke
Team1,PACT,Wisla Krakow,9,16,Dust2
Team1,PACT,Wisla Krakow,9,16,Mirage
Team1,PACT,devils.one,13,16,Mirage
Team1,PACT,forZe,7,16,Mirage
Team1,PACT,forZe,9,16,Nuke
Team1,PACT,forZe,9,16,Overpass
Team1,PACT,hREDS,16,11,Nuke
Team1,PACT,hREDS,16,13,Dust2
Team1,PACT,hREDS,8,16,Train
Team1,PACT,m1x,16,12,Mirage
Team1,PACT,m1x,19,16,Nuke
Team1,PACT,m1x,4,16,Mirage
Team1,PACT,pro100,9,16,Train
Team1,PACT,x-kom,2,16,Nuke
Team1,PACT,x-kom,9,16,Mirage
Team2,PACT,AGF,14,16,Nuke
Team2,PACT,AVANGAR,10,16,Dust2
Team2,PACT,AVEZ,14,16,Nuke
Team2,PACT,AVEZ,16,6,Inferno
Team2,PACT,Ambush,12,16,Train
Team2,PACT,Ambush,16,4,Nuke
Team2,PACT,Ambush,16,7,Vertigo
Team2,PACT,Ambush,17,19,Vertigo
Team2,PACT,Ancient,13,16,Dust2
Team2,PACT,Balderisnor,16,8,Mirage
Team2,PACT,Capri Sun,16,7,Dust2
Team2,PACT,Chaos,12,16,Train
Team2,PACT,Codewise Unicorns,12,16,Inferno
Team2,PACT,Copenhagen Flames,11,16,Train
Team2,PACT,Copenhagen Flames,16,6,Inferno
Team2,PACT,Defusekids,16,3,Mirage
Team2,PACT,Demise,16,6,Inferno
Team2,PACT,Demolition Crew,12,16,Dust2
Team2,PACT,DreamEaters,16,2,Nuke
Team2,PACT,FATE,14,16,Inferno
Team2,PACT,FATE,16,5,Train
Team2,PACT,HAVU,12,16,Dust2
Team2,PACT,HAVU,12,16,Train
Team2,PACT,HAVU,12,16,Vertigo
Team2,PACT,HAVU,13,16,Vertigo
Team2,PACT,HAVU,20,22,Nuke
Team2,PACT,HellRaisers,10,16,Mirage
Team2,PACT,HellRaisers,16,5,Vertigo
Team2,PACT,HellRaisers,16,6,Train
Team2,PACT,Illuminar,13,16,Dust2
Team2,PACT,Illuminar,14,16,Train
Team2,PACT,Illuminar,14,16,Vertigo
Team2,PACT,Izako Boars,10,16,Train
Team2,PACT,Izako Boars,10,16,Train
Team2,PACT,Izako Boars,16,2,Vertigo
Team2,PACT,Izako Boars,16,6,Vertigo
Team2,PACT,Japaleno,15,19,Inferno
Team2,PACT,MAJESTY,16,6,Mirage
Team2,PACT,MiTH.Maple,14,16,Mirage
Team2,PACT,Nemiga,12,16,Nuke
Team2,PACT,Pompa,16,8,Vertigo
Team2,PACT,Project X,16,7,Dust2
