Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Panda,5POWER,16,11,Train
Team1,Panda,EHOME,16,8,Inferno
Team1,Panda,IPET,16,10,Overpass
Team1,Panda,IPET,16,14,Cache
Team1,Panda,Ignis,16,13,Mirage
Team1,Panda,MIBR,5,16,Inferno
Team1,Panda,MIBR,6,16,Mirage
Team1,Panda,North,2,16,Dust2
Team1,Panda,Russia,16,14,Train
Team1,Panda,Russia,22,20,Overpass
Team1,Panda,WARDELL N Friends,17,19,Mirage
Team2,Panda,5POWER,16,19,Inferno
Team2,Panda,5POWER,16,9,Mirage
Team2,Panda,EHOME,16,9,Mirage
Team2,Panda,North,17,19,Train
Team2,Panda,TYLOO,13,16,Train
Team2,Panda,ViCi,13,16,Dust2
Team2,Panda,WARDELL N Friends,11,16,Dust2
