Winner,Team1,Team2,Team1_Score,Team2_Score,Map
Team1,Paradox,Airborne,16,12,Dust2
Team1,Paradox,Airborne,19,16,Inferno
Team1,Paradox,Airborne,19,16,Nuke
Team1,Paradox,Airborne,9,16,Mirage
Team1,Paradox,Astral Influence,8,16,Mirage
Team1,Paradox,Athletico,16,12,Overpass
Team1,Paradox,Athletico,16,13,Cache
Team1,Paradox,Athletico,16,13,Mirage
Team1,Paradox,Athletico,19,17,Mirage
Team1,Paradox,Bizarre,16,12,Inferno
Team1,Paradox,Chiefs,10,16,Inferno
Team1,Paradox,Chiefs,16,13,Dust2
Team1,Paradox,Chiefs,16,14,Nuke
Team1,Paradox,Chiefs,2,16,Nuke
Team1,Paradox,Chiefs,4,16,Dust2
Team1,Paradox,Chiefs,5,16,Inferno
Team1,Paradox,DINQ,19,17,Mirage
Team1,Paradox,Downfall,16,14,Inferno
Team1,Paradox,Eimi Fukada FC,16,13,Inferno
Team1,Paradox,Fighting 4 Freedom,16,11,Mirage
Team1,Paradox,Fighting 4 Freedom,7,16,Overpass
Team1,Paradox,Genuine,16,11,Inferno
Team1,Paradox,Genuine,16,11,Inferno
Team1,Paradox,Genuine,16,12,Train
Team1,Paradox,Genuine,3,16,Nuke
Team1,Paradox,Genuine,6,16,Mirage
Team1,Paradox,Grayhound,5,16,Nuke
Team1,Paradox,Grayhound,8,16,Inferno
Team1,Paradox,Ground Zero,16,13,Inferno
Team1,Paradox,Ground Zero,19,15,Overpass
Team1,Paradox,Ground Zero,7,16,Overpass
Team1,Paradox,Ground Zero,9,16,Mirage
Team1,Paradox,Lucid,16,10,Train
Team1,Paradox,Lucid,9,16,Mirage
Team1,Paradox,MARKandLARRY,17,19,Dust2
Team1,Paradox,MC,16,14,Mirage
Team1,Paradox,Monky See Monky Do,16,14,Dust2
Team1,Paradox,Monky See Monky Do,7,16,Overpass
Team1,Paradox,ORDER,16,12,Cache
Team1,Paradox,ORDER,16,12,Mirage
Team1,Paradox,ORDER,4,16,Inferno
Team1,Paradox,ORDER,4,16,Nuke
Team1,Paradox,ORDER,9,16,Nuke
Team1,Paradox,Overt,16,13,Inferno
Team1,Paradox,Overt,16,14,Train
Team1,Paradox,Rooster,16,11,Train
Team1,Paradox,Rooster,9,16,Mirage
Team1,Paradox,Rooster,9,16,Mirage
Team1,Paradox,SYF,16,12,Dust2
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,15,Mirage
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Skyfire,19,16,Overpass
Team1,Paradox,Surge,13,16,Mirage
Team1,Paradox,ex-Genuine,10,16,Mirage
Team1,Paradox,ex-Genuine,16,10,Vertigo
Team1,Paradox,really weird,16,12,Inferno
Team2,Paradox,Astral Influence,16,7,Overpass
Team2,Paradox,Astral Influence,16,8,Inferno
Team2,Paradox,Athletico,12,16,Overpass
Team2,Paradox,Athletico,16,8,Dust2
Team2,Paradox,Breakaway,10,16,Mirage
Team2,Paradox,Breakaway,11,16,Train
Team2,Paradox,Caladrius,16,8,Inferno
Team2,Paradox,Fanta,16,3,Inferno
Team2,Paradox,Fighting 4 Freedom,16,9,Overpass
Team2,Paradox,Genuine,11,16,Mirage
Team2,Paradox,Genuine,12,16,Train
Team2,Paradox,Genuine,16,2,Dust2
Team2,Paradox,Genuine,16,4,Inferno
Team2,Paradox,Genuine,16,7,Overpass
Team2,Paradox,Ground Zero,14,16,Inferno
Team2,Paradox,Ground Zero,16,8,Nuke
Team2,Paradox,Incept,16,7,Dust2
Team2,Paradox,MARKandLARRY,16,8,Overpass
Team2,Paradox,MC,10,16,Dust2
Team2,Paradox,ORDER,10,16,Inferno
Team2,Paradox,ORDER,12,16,Mirage
Team2,Paradox,PC419,16,7,Nuke
Team2,Paradox,R!OT,12,16,Overpass
Team2,Paradox,R!OT,16,8,Mirage
Team2,Paradox,Rooster,12,16,Train
Team2,Paradox,Rooster,13,16,Inferno
Team2,Paradox,Rooster,16,3,Mirage
Team2,Paradox,Skyfire,16,8,Dust2
Team2,Paradox,Surge,13,16,Inferno
Team2,Paradox,TRIDENT,16,8,Dust2
Team2,Paradox,catman,10,16,Dust2
Team2,Paradox,esea open,16,5,Inferno
Team2,Paradox,madlikewizards,12,16,Overpass
Team2,Paradox,really weird,12,16,Overpass
Team2,Paradox,rewound,14,16,Nuke
